PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	33.0	3.0	5	[000003, 000000, 000001, 000002, 000006]
9	0	11	14.0	1.0	9	[000003, 000000, 000001, 000002, 000007, 000004, 000005, 000008, 000006]
9	0	11	14.0	1.0	7	[000003, 000000, 000001, 000002, 000007, 000004, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000002, 000007, 000004, 000008, 000006]
9	0	11	22.0	2.0	8	[000003, 000000, 000001, 000002, 000007, 000008, 000004, 000006]
9	0	11	22.0	2.0	9	[000003, 000000, 000001, 000002, 000007, 000008, 000005, 000004, 000006]
9	0	11	22.0	2.0	7	[000003, 000000, 000001, 000002, 000007, 000008, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000001, 000002, 000008, 000004, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000001, 000002, 000008, 000005, 000004, 000006]
9	0	11	7.0	2.0	6	[000003, 000000, 000001, 000002, 000008, 000006]
9	0	11	7.0	1.0	8	[000003, 000000, 000001, 000002, 000008, 000007, 000004, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000001, 000004, 000005, 000008, 000002, 000006]
9	0	11	29.0	2.0	7	[000003, 000000, 000001, 000004, 000005, 000008, 000006]
9	0	11	22.0	2.0	9	[000003, 000000, 000001, 000004, 000005, 000008, 000007, 000002, 000006]
9	0	11	33.0	2.0	5	[000003, 000000, 000001, 000004, 000006]
9	0	11	14.0	1.0	7	[000003, 000000, 000001, 000004, 000007, 000002, 000006]
9	0	11	7.0	1.0	8	[000003, 000000, 000001, 000004, 000007, 000002, 000008, 000006]
9	0	11	7.0	1.0	8	[000003, 000000, 000001, 000004, 000007, 000008, 000002, 000006]
9	0	11	14.0	1.0	7	[000003, 000000, 000001, 000004, 000007, 000008, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000001, 000004, 000008, 000002, 000006]
9	0	11	31.0	2.0	6	[000003, 000000, 000001, 000004, 000008, 000006]
9	0	11	22.0	2.0	8	[000003, 000000, 000001, 000004, 000008, 000007, 000002, 000006]
9	0	11	33.0	3.0	6	[000003, 000000, 000001, 000005, 000004, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000005, 000004, 000007, 000002, 000006]
9	0	11	7.0	1.0	9	[000003, 000000, 000001, 000005, 000004, 000007, 000002, 000008, 000006]
9	0	11	7.0	1.0	9	[000003, 000000, 000001, 000005, 000004, 000007, 000008, 000002, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000005, 000004, 000007, 000008, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000001, 000005, 000004, 000008, 000002, 000006]
9	0	11	31.0	2.0	7	[000003, 000000, 000001, 000005, 000004, 000008, 000006]
9	0	11	22.0	2.0	9	[000003, 000000, 000001, 000005, 000004, 000008, 000007, 000002, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000001, 000005, 000008, 000002, 000006]
9	0	11	7.0	1.0	9	[000003, 000000, 000001, 000005, 000008, 000002, 000007, 000004, 000006]
9	0	11	29.0	2.0	7	[000003, 000000, 000001, 000005, 000008, 000004, 000006]
9	0	11	14.0	1.0	9	[000003, 000000, 000001, 000005, 000008, 000004, 000007, 000002, 000006]
9	0	11	29.0	2.0	6	[000003, 000000, 000001, 000005, 000008, 000006]
9	0	11	22.0	2.0	8	[000003, 000000, 000001, 000005, 000008, 000007, 000002, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000005, 000008, 000007, 000004, 000006]
9	0	11	22.0	3.0	6	[000003, 000000, 000001, 000007, 000002, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000001, 000007, 000002, 000008, 000004, 000006]
9	0	11	7.0	2.0	9	[000003, 000000, 000001, 000007, 000002, 000008, 000005, 000004, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000001, 000007, 000002, 000008, 000006]
9	0	11	7.0	1.0	9	[000003, 000000, 000001, 000007, 000004, 000005, 000008, 000002, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000007, 000004, 000005, 000008, 000006]
9	0	11	14.0	1.0	6	[000003, 000000, 000001, 000007, 000004, 000006]
9	0	11	7.0	1.0	8	[000003, 000000, 000001, 000007, 000004, 000008, 000002, 000006]
9	0	11	14.0	1.0	7	[000003, 000000, 000001, 000007, 000004, 000008, 000006]
9	0	11	7.0	3.0	7	[000003, 000000, 000001, 000007, 000008, 000002, 000006]
9	0	11	31.0	2.0	7	[000003, 000000, 000001, 000007, 000008, 000004, 000006]
9	0	11	29.0	2.0	8	[000003, 000000, 000001, 000007, 000008, 000005, 000004, 000006]
9	0	11	33.0	2.0	6	[000003, 000000, 000001, 000007, 000008, 000006]
9	0	11	7.0	3.0	6	[000003, 000000, 000001, 000008, 000002, 000006]
9	0	11	7.0	1.0	8	[000003, 000000, 000001, 000008, 000002, 000007, 000004, 000006]
9	0	11	31.0	2.0	6	[000003, 000000, 000001, 000008, 000004, 000006]
9	0	11	14.0	1.0	8	[000003, 000000, 000001, 000008, 000004, 000007, 000002, 000006]
9	0	11	29.0	2.0	7	[000003, 000000, 000001, 000008, 000005, 000004, 000006]
9	0	11	14.0	1.0	9	[000003, 000000, 000001, 000008, 000005, 000004, 000007, 000002, 000006]
9	0	11	33.0	2.0	5	[000003, 000000, 000001, 000008, 000006]
9	0	11	22.0	3.0	7	[000003, 000000, 000001, 000008, 000007, 000002, 000006]
9	0	11	14.0	1.0	7	[000003, 000000, 000001, 000008, 000007, 000004, 000006]
9	0	11	14.0	2.0	6	[000003, 000000, 000004, 000001, 000002, 000006]
9	0	11	14.0	2.0	8	[000003, 000000, 000004, 000001, 000002, 000007, 000008, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000004, 000001, 000002, 000008, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000004, 000001, 000005, 000008, 000002, 000006]
9	0	11	14.0	2.0	7	[000003, 000000, 000004, 000001, 000005, 000008, 000006]
9	0	11	14.0	2.0	9	[000003, 000000, 000004, 000001, 000005, 000008, 000007, 000002, 000006]
9	0	11	14.0	2.0	7	[000003, 000000, 000004, 000001, 000007, 000002, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000004, 000001, 000007, 000002, 000008, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000004, 000001, 000007, 000008, 000002, 000006]
9	0	11	14.0	2.0	7	[000003, 000000, 000004, 000001, 000007, 000008, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000004, 000001, 000008, 000002, 000006]
9	0	11	14.0	2.0	6	[000003, 000000, 000004, 000001, 000008, 000006]
9	0	11	14.0	2.0	8	[000003, 000000, 000004, 000001, 000008, 000007, 000002, 000006]
9	0	11	14.0	2.0	7	[000003, 000000, 000004, 000005, 000001, 000002, 000006]
9	0	11	14.0	2.0	9	[000003, 000000, 000004, 000005, 000001, 000002, 000007, 000008, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000004, 000005, 000001, 000002, 000008, 000006]
9	0	11	14.0	2.0	8	[000003, 000000, 000004, 000005, 000001, 000007, 000002, 000006]
9	0	11	7.0	2.0	9	[000003, 000000, 000004, 000005, 000001, 000007, 000002, 000008, 000006]
9	0	11	7.0	2.0	9	[000003, 000000, 000004, 000005, 000001, 000007, 000008, 000002, 000006]
9	0	11	14.0	2.0	8	[000003, 000000, 000004, 000005, 000001, 000007, 000008, 000006]
9	0	11	7.0	2.0	8	[000003, 000000, 000004, 000005, 000001, 000008, 000002, 000006]
9	0	11	14.0	2.0	7	[000003, 000000, 000004, 000005, 000001, 000008, 000006]
9	0	11	14.0	2.0	9	[000003, 000000, 000004, 000005, 000001, 000008, 000007, 000002, 000006]
9	0	11	14.0	2.0	8	[000003, 000000, 000004, 000005, 000008, 000001, 000002, 000006]
9	0	11	14.0	2.0	9	[000003, 000000, 000004, 000005, 000008, 000001, 000007, 000002, 000006]
9	0	11	7.0	2.0	7	[000003, 000000, 000004, 000005, 000008, 000002, 000006]
