PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
5	0	20	8.0	1.0	6	[000000, 000003, 000002, 000004, 000001, 000005]
5	0	20	14.0	1.0	6	[000000, 000003, 000002, 000004, 000006, 000005]
5	0	20	14.0	1.0	4	[000000, 000003, 000002, 000005]
5	0	20	8.0	1.0	6	[000000, 000003, 000006, 000004, 000001, 000005]
5	0	20	14.0	1.0	6	[000000, 000003, 000006, 000004, 000002, 000005]
5	0	20	14.0	2.0	4	[000000, 000003, 000006, 000005]
5	0	20	64.0	1.0	2	[000000, 000005]
4	1	16	6.0	2.0	6	[001003, 001000, 001006, 001001, 001004, 001002]
4	1	16	25.0	2.0	4	[001003, 001000, 001006, 001002]
4	1	16	6.0	2.0	7	[001003, 001000, 001006, 001005, 001001, 001004, 001002]
4	1	16	71.0	1.0	2	[001003, 001002]
4	1	16	6.0	1.0	6	[001003, 001004, 001001, 001005, 001006, 001002]
4	1	16	22.0	1.0	5	[001003, 001004, 001001, 001006, 001002]
4	1	16	6.0	1.0	3	[001003, 001004, 001002]
4	1	16	6.0	2.0	5	[001003, 001006, 001001, 001004, 001002]
4	1	16	70.0	2.0	3	[001003, 001006, 001002]
4	1	16	6.0	2.0	6	[001003, 001006, 001005, 001001, 001004, 001002]
15	2	17	38.0	1.0	6	[002001, 002000, 002002, 002005, 002004, 002003]
15	2	17	15.0	1.0	4	[002001, 002000, 002004, 002003]
15	2	17	21.0	1.0	5	[002001, 002000, 002005, 002004, 002003]
15	2	17	48.0	3.0	2	[002001, 002003]
15	2	17	27.0	2.0	3	[002001, 002006, 002003]
4	3	5	29.0	1.0	4	[003002, 003000, 003003, 003001]
4	3	5	32.0	2.0	5	[003002, 003000, 003004, 003005, 003001]
4	3	5	50.0	1.0	4	[003002, 003000, 003005, 003001]
4	3	5	27.0	2.0	5	[003002, 003000, 003006, 003005, 003001]
4	3	5	29.0	1.0	5	[003002, 003004, 003000, 003003, 003001]
4	3	5	32.0	1.0	5	[003002, 003004, 003000, 003005, 003001]
4	3	5	27.0	1.0	6	[003002, 003004, 003000, 003006, 003005, 003001]
4	3	5	29.0	1.0	6	[003002, 003004, 003005, 003000, 003003, 003001]
4	3	5	39.0	1.0	4	[003002, 003004, 003005, 003001]
4	3	5	27.0	1.0	7	[003002, 003004, 003005, 003006, 003000, 003003, 003001]
4	3	5	29.0	1.0	5	[003002, 003005, 003000, 003003, 003001]
4	3	5	72.0	5.0	3	[003002, 003005, 003001]
4	3	5	29.0	1.0	6	[003002, 003005, 003004, 003000, 003003, 003001]
4	3	5	27.0	1.0	6	[003002, 003005, 003006, 003000, 003003, 003001]
4	3	5	12.0	1.0	5	[003002, 003006, 003000, 003003, 003001]
4	3	5	12.0	1.0	6	[003002, 003006, 003000, 003004, 003005, 003001]
4	3	5	12.0	1.0	5	[003002, 003006, 003000, 003005, 003001]
4	3	5	12.0	1.0	6	[003002, 003006, 003005, 003000, 003003, 003001]
4	3	5	12.0	1.0	4	[003002, 003006, 003005, 003001]
4	3	5	12.0	1.0	7	[003002, 003006, 003005, 003004, 003000, 003003, 003001]
