Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	18	[3, 2, 1, 8, 5, 9, 0, 11, 13]	0.03735184669494629
5	5	18	[3, 2, 1, 8, 5, 9, 0, 11, 13]	0.002798318862915039
5	10	18	[3, 2, 1, 8, 5, 9, 0, 11, 13]	0.00428318977355957
5	15	18	[3, 2, 1, 8, 5, 9, 0, 11, 13]	0.004266262054443359
5	20	35	[3, 2, 12, 11, 0, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7]	0.0056455135345458984
5	25	19	[3, 2, 1, 8, 5, 9, 0, 11, 13]	0.005011558532714844
5	1	4	[0, 11, 13]	0.0010862350463867188
5	5	4	[0, 11, 13]	0.0009038448333740234
5	10	4	[0, 11, 13]	0.0013997554779052734
5	15	4	[0, 11, 13]	0.002427339553833008
5	20	4	[0, 11, 13]	0.0013191699981689453
5	25	4	[0, 11, 13]	0.0016255378723144531
5	1	7	[4, 7, 9, 5]	0.0032830238342285156
5	5	7	[4, 7, 9, 5]	0.003003835678100586
5	10	7	[4, 7, 9, 5]	0.016392946243286133
5	15	7	[4, 7, 9, 5]	0.013295173645019531
5	20	34	[4, 7, 9, 0, 11, 13, 0, 12, 2, 3, 6, 10, 4, 10, 4]	0.00713348388671875
5	25	7	[4, 7, 9, 5]	0.0025207996368408203
5	1	35	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 6, 10]	0.010774850845336914
5	5	35	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 6, 10, 4, 7]	0.005064487457275391
5	10	10	[10, 4, 7, 9, 0]	0.0017590522766113281
5	15	10	[10, 4, 7, 9, 0]	0.0026400089263916016
5	20	10	[10, 4, 7, 9, 0]	0.0018515586853027344
5	25	24	[10, 4, 7, 9, 5, 8, 1, 2, 12, 11, 0]	0.004942893981933594
5	1	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.0031931400299072266
5	5	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.0035333633422851562
5	10	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.00392913818359375
5	15	18	[12, 2, 3, 6, 10, 4, 7, 9]	0.003470897674560547
5	20	18	[12, 2, 3, 6, 10, 4, 7, 9]	0.0032105445861816406
5	25	19	[12, 2, 3, 6, 10, 4, 7, 9]	0.006095409393310547
5	1	7	[12, 2, 3, 6]	0.0027222633361816406
5	5	7	[12, 2, 3, 6]	0.0016024112701416016
5	10	7	[12, 2, 3, 6]	0.0025675296783447266
5	15	8	[12, 2, 3, 6]	0.002263784408569336
5	20	8	[12, 2, 3, 6]	0.0017609596252441406
5	25	9	[12, 2, 3, 6]	0.0014185905456542969
5	1	31	[3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 11, 0, 9, 7]	0.006925106048583984
5	5	32	[3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 11, 12, 11, 0]	0.004498720169067383
5	10	30	[3, 2, 1, 8, 5, 9, 0, 11, 13, 0, 12, 0, 9, 7, 4]	0.008669614791870117
5	15	32	[3, 2, 1, 8, 5, 9, 0, 11, 13, 0, 12, 2, 3, 6, 10]	0.004334449768066406
5	20	31	[3, 2, 1, 8, 5, 9, 0, 12, 11, 13, 0, 13, 0, 12, 0]	0.00662994384765625
5	25	32	[3, 2, 1, 8, 5, 9, 0, 12, 11, 13, 0, 9, 7, 4, 10]	0.0046617984771728516
5	1	6	[11, 0, 9, 5]	0.002280712127685547
5	5	6	[11, 0, 9, 5]	0.0047414302825927734
5	10	6	[11, 0, 9, 5]	0.0016236305236816406
5	15	6	[11, 0, 9, 5]	0.0014994144439697266
5	20	6	[11, 0, 9, 5]	0.002577066421508789
5	25	6	[11, 0, 9, 5]	0.002692699432373047
5	1	22	[0, 11, 13, 0, 9, 5, 8, 1, 2, 3, 6]	0.0037353038787841797
5	5	22	[0, 11, 13, 0, 9, 5, 8, 1, 2, 3, 6]	0.0065233707427978516
5	10	16	[0, 11, 13, 11, 12, 2, 3, 6]	0.0028722286224365234
5	15	23	[0, 11, 13, 0, 9, 5, 8, 1, 2, 3, 6]	0.004094362258911133
5	20	24	[0, 11, 13, 0, 9, 5, 8, 1, 2, 3, 6]	0.004805803298950195
5	25	25	[0, 11, 13, 0, 9, 5, 8, 1, 2, 3, 6]	0.003320455551147461
5	1	16	[6, 3, 2, 1, 8, 5, 9, 7]	0.005721330642700195
5	5	31	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 2, 9, 7]	0.005193471908569336
5	10	30	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 0, 12, 2, 12, 0]	0.006137847900390625
5	15	31	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 2, 1, 8]	0.0060994625091552734
5	20	31	[6, 3, 2, 12, 11, 0, 9, 5, 8, 1, 8, 5, 9, 7]	0.0053751468658447266
5	25	32	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 0, 12, 11]	0.005012035369873047
5	1	20	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.003453969955444336
5	5	20	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.006306648254394531
5	10	20	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.004910707473754883
5	15	21	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.005475044250488281
5	20	22	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.003552675247192383
5	25	23	[8, 5, 9, 2, 3, 6, 10, 4, 7]	0.005337953567504883
5	1	11	[5, 9, 2, 3, 6, 10]	0.004597187042236328
5	5	11	[5, 9, 2, 3, 6, 10]	0.007390737533569336
5	10	11	[5, 9, 2, 3, 6, 10]	0.006418943405151367
5	15	12	[5, 9, 2, 3, 6, 10]	0.005919456481933594
5	20	16	[5, 8, 1, 2, 3, 6, 10]	0.003541231155395508
5	25	13	[5, 9, 2, 3, 6, 10]	0.004069328308105469
5	1	31	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 11, 13, 11]	0.007708072662353516
5	5	31	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 0, 12, 11, 12, 11]	0.012205123901367188
5	10	8	[6, 10, 4, 7]	0.0016777515411376953
5	15	8	[6, 10, 4, 7]	0.0017342567443847656
5	20	32	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 11, 0, 9]	0.010210275650024414
5	25	32	[6, 3, 2, 1, 8, 5, 9, 0, 11, 13, 11, 12, 2, 9, 7]	0.010857343673706055
5	1	8	[11, 0, 9, 5, 8]	0.002710103988647461
5	5	23	[11, 0, 9, 7, 4, 10, 6, 3, 2, 1, 8]	0.008971929550170898
5	10	8	[11, 0, 9, 5, 8]	0.0030524730682373047
5	15	23	[11, 0, 9, 7, 4, 10, 6, 3, 2, 1, 8]	0.009171009063720703
