Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	9	[7, 6, 13, 20, 0]	0.032962799072265625
5	5	9	[7, 6, 13, 20, 0]	0.002965688705444336
5	10	9	[7, 6, 13, 20, 0]	0.0014042854309082031
5	15	9	[7, 6, 13, 20, 0]	0.002429962158203125
5	20	9	[7, 6, 13, 20, 0]	0.0027959346771240234
5	25	9	[7, 6, 13, 20, 0]	0.002597332000732422
5	1	39	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.006618022918701172
5	5	39	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.009251594543457031
5	10	39	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.010269641876220703
5	15	10035	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.009759902954101562
5	20	27	[2, 15, 10, 3, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.006021738052368164
5	25	10035	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12]	0.012000799179077148
5	1	31	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.010130167007446289
5	5	31	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.006136417388916016
5	10	31	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.01023101806640625
5	15	10027	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.009552240371704102
5	20	10027	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.0076732635498046875
5	25	10027	[10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.009475231170654297
5	1	22	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.007590770721435547
5	5	22	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.0061304569244384766
5	10	22	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.0074138641357421875
5	15	10018	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.0044171810150146484
5	20	10018	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.0048809051513671875
5	25	10018	[2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0]	0.008449316024780273
5	1	50	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 2, 17, 2, 17, 9, 18, 11, 23]	0.012036800384521484
5	5	38	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 11, 23]	0.008779048919677734
5	10	42	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 9, 18, 11, 23]	0.009868144989013672
5	15	39	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 11, 23]	0.01121830940246582
5	20	55	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 9, 17, 2, 17, 9, 17, 2, 17]	0.009855031967163086
5	25	39	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 11, 23]	0.01403188705444336
5	1	33	[16, 10, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 14, 22, 8]	0.00482630729675293
5	5	13	[16, 10, 3, 4, 1, 16, 8]	0.0021250247955322266
5	10	13	[16, 10, 3, 4, 1, 16, 8]	0.004176139831542969
