BW	Num of Hops	Path	Elapsed Time (seconds)
1	9	[3, 2, 12, 0, 13]	0.042608022689819336
5	9	[3, 2, 12, 0, 13]	0.05484890937805176
10	9	[3, 2, 12, 0, 13]	0.04833793640136719
15	9	[3, 2, 12, 0, 13]	0.04259228706359863
20	9	[3, 2, 12, 0, 13]	0.04314708709716797
25	9	[3, 2, 12, 0, 13]	0.03892350196838379
1	2	[0, 13]	0.018837928771972656
5	2	[0, 13]	0.01879739761352539
10	2	[0, 13]	0.014937639236450195
15	2	[0, 13]	0.018291711807250977
20	2	[0, 13]	0.018774032592773438
25	2	[0, 13]	0.012152433395385742
1	7	[4, 7, 9, 5]	0.021652936935424805
5	7	[4, 7, 9, 5]	0.02321457862854004
10	7	[4, 7, 9, 5]	0.023154020309448242
15	7	[4, 7, 9, 5]	0.023934602737426758
20	7	[4, 7, 9, 5]	0.02236199378967285
25	7	[4, 7, 9, 5]	0.0202789306640625
1	10	[10, 4, 7, 9, 0]	0.033200979232788086
5	10	[10, 4, 7, 9, 0]	0.03706550598144531
10	10	[10, 4, 7, 9, 0]	0.03372454643249512
15	10	[10, 4, 7, 9, 0]	0.02818894386291504
20	10	[10, 4, 7, 9, 0]	0.029852867126464844
25	10	[10, 4, 7, 9, 0]	0.027878999710083008
1	4	[12, 2, 9]	0.018548011779785156
5	4	[12, 2, 9]	0.014997243881225586
10	4	[12, 2, 9]	0.017882108688354492
15	4	[12, 2, 9]	0.01730036735534668
20	4	[12, 2, 9]	0.013378143310546875
25	4	[12, 2, 9]	0.015891551971435547
1	11	[12, 2, 12, 2, 3, 6]	0.04375815391540527
5	7	[12, 2, 3, 6]	0.04160571098327637
10	32	[12, 11, 0, 9, 5, 9, 5, 9, 7, 9, 5, 9, 7, 4, 10, 6]	0.041110992431640625
15	18	[12, 2, 12, 2, 3, 2, 3, 6]	0.04108142852783203
20	8	[12, 2, 3, 6]	0.04132533073425293
25	9	[12, 2, 3, 6]	0.04592275619506836
1	5	[3, 6, 10]	0.0373234748840332
5	5	[3, 6, 10]	0.04115724563598633
10	5	[3, 6, 10]	0.04056406021118164
15	5	[3, 6, 10]	0.03480267524719238
20	5	[3, 6, 10]	0.03793501853942871
25	5	[3, 6, 10]	0.040062665939331055
1	6	[11, 0, 9, 5]	0.028248310089111328
5	6	[11, 0, 9, 5]	0.02446269989013672
10	6	[11, 0, 9, 5]	0.027914047241210938
15	6	[11, 0, 9, 5]	0.029953479766845703
20	6	[11, 0, 9, 5]	0.028476238250732422
25	6	[11, 0, 9, 5]	0.025111675262451172
1	9	[0, 12, 2, 3, 6]	0.05846667289733887
5	9	[0, 12, 2, 3, 6]	0.051552772521972656
10	9	[0, 12, 2, 3, 6]	0.04848670959472656
15	10	[0, 12, 2, 3, 6]	0.055393218994140625
20	10	[0, 12, 2, 3, 6]	0.048512935638427734
25	11	[0, 12, 2, 3, 6]	0.055480241775512695
1	8	[6, 10, 4, 7]	0.029128313064575195
5	8	[6, 10, 4, 7]	0.027706146240234375
10	8	[6, 10, 4, 7]	0.02763652801513672
15	8	[6, 10, 4, 7]	0.028841018676757812
20	8	[6, 10, 4, 7]	0.027966022491455078
25	8	[6, 10, 4, 7]	0.029817581176757812
1	7	[8, 5, 9, 7]	0.024332523345947266
5	7	[8, 5, 9, 7]	0.028154373168945312
10	7	[8, 5, 9, 7]	0.03909707069396973
15	7	[8, 5, 9, 7]	0.022899150848388672
20	8	[8, 5, 9, 7]	0.0193634033203125
25	8	[8, 5, 9, 7]	0.0264894962310791
1	9	[5, 9, 7, 4, 10]	0.04719352722167969
5	13	[5, 9, 5, 9, 7, 4, 10]	0.04865765571594238
10	9	[5, 9, 7, 4, 10]	0.04882955551147461
15	9	[5, 9, 7, 4, 10]	0.0445559024810791
20	9	[5, 9, 7, 4, 10]	0.04369950294494629
25	9	[5, 9, 7, 4, 10]	0.04462695121765137
1	8	[6, 10, 4, 7]	0.028774738311767578
5	8	[6, 10, 4, 7]	0.029103755950927734
10	8	[6, 10, 4, 7]	0.028224468231201172
15	16	[6, 3, 2, 1, 8, 5, 9, 7]	0.029881715774536133
20	8	[6, 10, 4, 7]	0.03109431266784668
25	8	[6, 10, 4, 7]	0.02619194984436035
1	8	[11, 0, 9, 5, 8]	0.039933204650878906
5	9	[11, 12, 2, 1, 8]	0.044567108154296875
10	8	[11, 0, 9, 5, 8]	0.047667503356933594
15	8	[11, 0, 9, 5, 8]	0.04881024360656738
20	8	[11, 0, 9, 5, 8]	0.04026007652282715
25	8	[11, 0, 9, 5, 8]	0.052581787109375
1	11	[13, 0, 12, 2, 3, 6]	0.07705521583557129
5	11	[13, 0, 12, 2, 3, 6]	0.04148745536804199
10	11	[13, 0, 12, 2, 3, 6]	0.0703725814819336
15	15	[13, 0, 11, 12, 2, 3, 6]	0.04424881935119629
20	12	[13, 0, 12, 2, 3, 6]	0.062426090240478516
25	13	[13, 0, 12, 2, 3, 6]	0.062249183654785156
1	7	[1, 2, 3, 6]	0.04981589317321777
5	7	[1, 2, 3, 6]	0.0477137565612793
10	7	[1, 2, 3, 6]	0.04127812385559082
15	8	[1, 2, 3, 6]	0.03785347938537598
20	8	[1, 2, 3, 6]	0.037976980209350586
25	9	[1, 2, 3, 6]	0.047644853591918945
1	4	[9, 0, 11]	0.02844691276550293
5	4	[9, 0, 11]	0.027208328247070312
10	4	[9, 0, 11]	0.027913331985473633
15	6	[9, 2, 12, 11]	0.03476572036743164
20	4	[9, 0, 11]	0.034386634826660156
25	4	[9, 0, 11]	0.03999829292297363
1	8	[11, 0, 12, 2, 3]	0.03632497787475586
5	8	[11, 0, 12, 2, 3]	0.041658639907836914
10	8	[11, 0, 12, 2, 3]	0.03467726707458496
15	9	[11, 0, 12, 2, 3]	0.04034686088562012
20	8	[11, 12, 2, 3]	0.041625022888183594
25	10	[11, 0, 12, 2, 3]	0.03540968894958496
1	11	[4, 7, 9, 7, 9, 2]	0.02828216552734375
5	7	[4, 7, 9, 2]	0.028699874877929688
10	7	[4, 7, 9, 2]	0.030918359756469727
15	7	[4, 7, 9, 2]	0.028099775314331055
20	7	[4, 7, 9, 2]	0.02113628387451172
25	7	[4, 7, 9, 2]	0.022855520248413086
1	9	[4, 7, 9, 0, 11]	0.04113268852233887
5	9	[4, 7, 9, 0, 11]	0.035968780517578125
10	9	[4, 7, 9, 0, 11]	0.036948442459106445
15	9	[4, 7, 9, 0, 11]	0.037938833236694336
20	9	[4, 7, 9, 0, 11]	0.042894601821899414
25	17	[4, 10, 6, 3, 2, 12, 0, 11]	0.04850625991821289
