Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	15.0	11	[3, 2, 12, 0, 11, 13]	0.004688262939453125
5	5	15.0	11	[3, 2, 12, 0, 11, 13]	0.0018696784973144531
5	10	15.0	11	[3, 2, 12, 0, 11, 13]	0.0022051334381103516
5	15	15.0	11	[3, 2, 12, 0, 11, 13]	0.0022988319396972656
5	20	15.0	11	[3, 2, 12, 0, 11, 13]	0.002503633499145508
5	25	15.0	11	[3, 2, 12, 0, 11, 13]	0.0019326210021972656
5	1	6.0	4	[0, 11, 13]	0.0011875629425048828
5	5	44.0	33	[0, 11, 12, 2, 1, 8, 5, 9, 7, 4, 10, 6, 3, 6, 10]	0.0046918392181396484
5	10	6.0	4	[0, 11, 13]	0.0010097026824951172
5	15	6.0	4	[0, 11, 13]	0.0010154247283935547
5	20	6.0	4	[0, 11, 13]	0.000881195068359375
5	25	6.0	4	[0, 11, 13]	0.0007898807525634766
5	1	12.0	7	[4, 7, 9, 5]	0.0012311935424804688
5	5	12.0	7	[4, 7, 9, 5]	0.0014905929565429688
5	10	9.0	7	[4, 7, 9, 5]	0.001989126205444336
5	15	9.0	7	[4, 7, 9, 5]	0.0021233558654785156
5	20	9.0	7	[4, 7, 9, 5]	0.001600503921508789
5	25	9.0	7	[4, 7, 9, 5]	0.0013625621795654297
5	1	41.0	31	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 3, 2, 12, 0]	0.003366231918334961
5	5	32.0	21	[10, 4, 7, 9, 5, 8, 1, 2, 12, 0]	0.0045549869537353516
5	10	7.0	10	[10, 4, 7, 9, 0]	0.0015323162078857422
5	15	29.0	21	[10, 4, 7, 9, 5, 8, 1, 2, 12, 0]	0.004682064056396484
5	20	30.0	22	[10, 4, 7, 9, 5, 8, 1, 2, 12, 0]	0.004444599151611328
5	25	30.0	22	[10, 4, 7, 9, 5, 8, 1, 2, 12, 0]	0.003457307815551758
5	1	19.0	11	[12, 2, 1, 8, 5, 9]	0.0015599727630615234
5	5	19.0	11	[12, 2, 1, 8, 5, 9]	0.0017669200897216797
5	10	19.0	11	[12, 2, 1, 8, 5, 9]	0.0019183158874511719
5	15	5.0	4	[12, 2, 9]	0.0004470348358154297
5	20	16.0	12	[12, 2, 1, 8, 5, 9]	0.002002716064453125
5	25	14.0	19	[12, 2, 3, 6, 10, 4, 7, 9]	0.002618551254272461
5	1	33.0	21	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.0031859874725341797
