Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	43.0	39	[7, 18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 11, 23, 11, 20, 0]	0.008307933807373047
5	5	51.0	47	[7, 18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 17, 2, 15, 2, 15, 12, 23, 11, 20, 0]	0.006012916564941406
5	10	41.0	40	[7, 18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 11, 23, 11, 20, 0]	0.006591796875
5	15	51.0	51	[7, 18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 17, 2, 17, 2, 15, 12, 23, 11, 20, 0]	0.006876945495605469
5	20	42.0	41	[7, 18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 11, 23, 11, 20, 0]	0.004904747009277344
5	25	9.0	9	[7, 6, 13, 20, 0]	0.0009434223175048828
5	1	3.0	4	[2, 15, 12]	0.0008528232574462891
5	5	3.0	4	[2, 15, 12]	0.0007772445678710938
5	10	3.0	4	[2, 15, 12]	0.0007746219635009766
5	15	3.0	4	[2, 15, 12]	0.0007669925689697266
5	20	3.0	4	[2, 15, 12]	0.0007503032684326172
5	25	3.0	4	[2, 15, 12]	0.0007903575897216797
5	1	45.0	35	[10, 3, 21, 12, 19, 14, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.005873918533325195
5	5	53.0	54	[10, 3, 21, 12, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 16, 8, 16, 1, 4, 3, 21, 12]	0.007447481155395508
5	10	43.0	36	[10, 3, 21, 12, 19, 14, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.0071332454681396484
5	15	10041.0	10032	[10, 3, 21, 12, 19, 14, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.005655050277709961
5	20	10041.0	10032	[10, 3, 21, 12, 19, 14, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.008648872375488281
5	25	20036.0	20028	[10, 3, 21, 12, 19, 14, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11]	0.00824284553527832
5	1	23.0	23	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.0037169456481933594
5	5	23.0	23	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.003798246383666992
5	10	20.0	23	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.004142284393310547
5	15	20.0	23	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.003802776336669922
5	20	16.0	23	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.003657102584838867
5	25	10014.0	10019	[2, 15, 12, 21, 3, 18, 7, 6, 13, 20, 0]	0.005181074142456055
5	1	43.0	43	[5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 20, 11, 23]	0.011046648025512695
5	5	43.0	43	[5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 20, 11, 23]	0.0068759918212890625
5	10	41.0	44	[5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 20, 11, 23]	0.008367300033569336
5	15	10051.0	10051	[5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 1, 4, 1]	0.007909059524536133
5	20	10.0	9	[5, 3, 21, 12, 23]	0.0010187625885009766
5	25	30042.0	30043	[5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 8, 22, 8, 22, 14]	0.006666421890258789
5	1	59.0	50	[16, 10, 3, 21, 12, 19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 15, 2, 17, 9, 18, 9, 18]	0.008749246597290039
5	5	25.0	24	[16, 10, 3, 21, 12, 23, 11, 20, 0, 5, 22, 8]	0.003424406051635742
5	10	59.0	52	[16, 10, 3, 21, 12, 19, 14, 22, 5, 0, 20, 11, 23, 12, 15, 2, 17, 9, 18, 7, 6, 13, 20, 13, 6]	0.008227109909057617
5	15	58.0	52	[16, 10, 3, 21, 12, 19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 15, 2, 17, 9, 18, 9, 18]	0.010115385055541992
5	20	59.0	53	[16, 10, 3, 21, 12, 19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 15, 2, 17, 9, 17, 2, 15]	0.00975489616394043
5	25	10052.0	10048	[16, 10, 3, 21, 12, 19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 11, 18, 9, 17, 2, 15, 12, 15]	0.0069484710693359375
5	1	7.0	9	[8, 22, 5, 3, 21]	0.0019452571868896484
5	5	35.0	31	[8, 22, 5, 3, 18, 7, 6, 13, 20, 0, 20, 11, 23, 12, 21]	0.004282712936401367
5	10	10.0	9	[8, 22, 5, 3, 21]	0.001772165298461914
5	15	10008.0	10005	[8, 22, 5, 3, 21]	0.00156402587890625
5	20	10008.0	10005	[8, 22, 5, 3, 21]	0.0014286041259765625
5	25	10005.0	10005	[8, 22, 5, 3, 21]	0.0017559528350830078
5	1	14.0	15	[15, 12, 21, 3, 18, 7, 6]	0.0022780895233154297
5	5	14.0	15	[15, 12, 21, 3, 18, 7, 6]	0.002463102340698242
5	10	11.0	15	[15, 12, 21, 3, 18, 7, 6]	0.0027875900268554688
5	15	11.0	15	[15, 12, 21, 3, 18, 7, 6]	0.002203702926635742
5	20	7.0	15	[15, 12, 21, 3, 18, 7, 6]	0.002305746078491211
5	25	10005.0	10011	[15, 12, 21, 3, 18, 7, 6]	0.002308368682861328
5	1	57.0	52	[18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 8, 22, 14, 16, 1]	0.008378982543945312
5	5	34.0	33	[18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 17, 2, 15, 12, 23]	0.006082773208618164
5	10	42.0	44	[18, 7, 6, 13, 20, 0, 5, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 11, 23]	0.009311914443969727
5	15	37.0	36	[18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 17, 2, 15, 12, 23]	0.005584001541137695
5	20	10051.0	10051	[18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 1, 4, 1]	0.006620883941650391
5	25	10052.0	10048	[18, 3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 17, 2, 15, 10, 15, 2, 15, 10, 15, 2, 15, 12, 23]	0.006987333297729492
5	1	17.0	17	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.003696441650390625
5	5	17.0	17	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.004035472869873047
5	10	18.0	18	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.003721952438354492
5	15	18.0	18	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.003274202346801758
5	20	18.0	18	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.0037665367126464844
5	25	10013.0	10014	[5, 3, 21, 12, 19, 14, 16, 10, 15]	0.0034682750701904297
5	1	25.0	26	[3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7]	0.005587577819824219
5	5	25.0	26	[3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7]	0.004702091217041016
5	10	28.0	29	[3, 21, 12, 19, 14, 16, 1, 4, 1, 4, 3, 18, 7]	0.002783536911010742
5	15	27.0	28	[3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7]	0.0050237178802490234
5	20	27.0	28	[3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7]	0.005316495895385742
5	25	10022.0	10024	[3, 21, 12, 19, 14, 16, 10, 15, 2, 17, 9, 18, 7]	0.005769252777099609
5	1	6.0	7	[21, 12, 19, 14]	0.0012900829315185547
5	5	6.0	7	[21, 12, 19, 14]	0.0011723041534423828
5	10	4.0	8	[21, 12, 19, 14]	0.0011184215545654297
5	15	4.0	8	[21, 12, 19, 14]	0.0011301040649414062
5	20	4.0	8	[21, 12, 19, 14]	0.001889944076538086
5	25	20025.0	20026	[21, 12, 15, 10, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.017467260360717773
5	1	6.0	8	[17, 9, 18, 3, 21]	0.0013458728790283203
5	5	10.0	8	[17, 2, 15, 12, 21]	0.002008676528930664
5	10	10.0	8	[17, 2, 15, 12, 21]	0.0015857219696044922
5	15	11.0	9	[17, 2, 15, 12, 21]	0.0016207695007324219
5	20	7.0	9	[17, 2, 15, 12, 21]	0.0016417503356933594
5	25	7.0	9	[17, 2, 15, 12, 21]	0.0015425682067871094
5	1	28.0	30	[12, 21, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 10]	0.005009174346923828
5	5	28.0	30	[12, 21, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 10]	0.00521540641784668
5	10	25.0	30	[12, 21, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 10]	0.004915952682495117
5	15	10034.0	10036	[12, 21, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 12, 15, 10]	0.005574464797973633
5	20	10019.0	10026	[12, 21, 3, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 10]	0.0044019222259521484
5	25	10011.0	10014	[12, 21, 3, 18, 9, 17, 2, 15, 10]	0.002911090850830078
5	1	2.0	5	[21, 12, 19]	0.0008525848388671875
5	5	2.0	5	[21, 12, 19]	0.0008635520935058594
5	10	2.0	5	[21, 12, 19]	0.0011129379272460938
5	15	2.0	5	[21, 12, 19]	0.0009145736694335938
5	20	2.0	5	[21, 12, 19]	0.0009095668792724609
5	25	10000.0	10001	[21, 12, 19]	0.001321554183959961
5	1	12.0	11	[21, 12, 19, 14, 16, 10]	0.0030670166015625
5	5	12.0	11	[21, 12, 19, 14, 16, 10]	0.0020515918731689453
5	10	10.0	12	[21, 12, 19, 14, 16, 10]	0.002343416213989258
5	15	10.0	12	[21, 12, 19, 14, 16, 10]	0.0020012855529785156
5	20	10.0	12	[21, 12, 19, 14, 16, 10]	0.0023059844970703125
5	25	10008.0	10008	[21, 12, 19, 14, 16, 10]	0.0020182132720947266
