Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	15.0	11	[3, 2, 12, 0, 11, 13]	0.023464202880859375
5	5	15.0	11	[3, 2, 12, 0, 11, 13]	0.001810312271118164
5	10	15.0	11	[3, 2, 12, 0, 11, 13]	0.0014889240264892578
5	15	15.0	11	[3, 2, 12, 0, 11, 13]	0.0019502639770507812
5	20	15.0	11	[3, 2, 12, 0, 11, 13]	0.002446889877319336
5	25	15.0	11	[3, 2, 12, 0, 11, 13]	0.0015454292297363281
5	1	43.0	33	[0, 11, 12, 2, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 9]	0.004028797149658203
5	5	44.0	34	[0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8, 1, 8, 5]	0.005576372146606445
5	10	40.0	33	[0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8, 1, 2, 9]	0.005101442337036133
5	15	39.0	34	[0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8, 1, 2, 12]	0.005613565444946289
5	20	38.0	34	[0, 11, 12, 2, 1, 8, 5, 9, 7, 4, 10, 6, 3, 6, 10]	0.004551410675048828
5	25	39.0	38	[0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8, 1, 8, 1]	0.005597352981567383
5	1	12.0	7	[4, 7, 9, 5]	0.002196788787841797
5	5	12.0	7	[4, 7, 9, 5]	0.0015366077423095703
5	10	9.0	7	[4, 7, 9, 5]	0.001348257064819336
5	15	9.0	7	[4, 7, 9, 5]	0.002115964889526367
5	20	30.0	32	[4, 7, 9, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.004569292068481445
5	25	9.0	7	[4, 7, 9, 5]	0.0014982223510742188
5	1	44.0	36	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 10]	0.003384113311767578
5	5	45.0	35	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 4, 10]	0.003796100616455078
5	10	38.0	31	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 3, 2, 12, 0]	0.005372285842895508
5	15	31.0	37	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 7]	0.005220890045166016
5	20	32.0	38	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 7]	0.003945350646972656
5	25	33.0	37	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 6, 3, 6, 3]	0.004309654235839844
5	1	21.0	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.003639698028564453
5	5	21.0	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.0031392574310302734
5	10	18.0	17	[12, 2, 3, 6, 10, 4, 7, 9]	0.004141092300415039
5	15	14.0	18	[12, 2, 3, 6, 10, 4, 7, 9]	0.0033805370330810547
5	20	14.0	18	[12, 2, 3, 6, 10, 4, 7, 9]	0.003721475601196289
5	25	14.0	19	[12, 2, 3, 6, 10, 4, 7, 9]	0.0029714107513427734
5	1	10.0	7	[12, 2, 3, 6]	0.0013949871063232422
5	5	10.0	7	[12, 2, 3, 6]	0.0017027854919433594
5	10	10.0	7	[12, 2, 3, 6]	0.0011014938354492188
5	15	6.0	8	[12, 2, 3, 6]	0.0016410350799560547
5	20	6.0	8	[12, 2, 3, 6]	0.0018756389617919922
5	25	6.0	9	[12, 2, 3, 6]	0.0013256072998046875
5	1	30.0	22	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10]	0.004354000091552734
5	5	14.0	12	[3, 2, 9, 7, 4, 10]	0.001924753189086914
5	10	27.0	22	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10]	0.00386810302734375
5	15	21.0	18	[3, 2, 12, 11, 0, 9, 7, 4, 10]	0.0028781890869140625
5	20	27.0	22	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10]	0.0036089420318603516
5	25	25.0	22	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10]	0.0035016536712646484
5	1	34.0	23	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.0032317638397216797
5	5	34.0	23	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.0053212642669677734
5	10	31.0	23	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.005560636520385742
5	15	27.0	24	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.003935575485229492
5	20	27.0	24	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.003935575485229492
5	25	27.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.004189014434814453
5	1	16.0	12	[0, 11, 12, 2, 3, 6]	0.0019168853759765625
5	5	16.0	12	[0, 11, 12, 2, 3, 6]	0.003021240234375
5	10	16.0	12	[0, 11, 12, 2, 3, 6]	0.0025076866149902344
5	15	32.0	26	[0, 11, 12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.004115104675292969
5	20	12.0	13	[0, 11, 12, 2, 3, 6]	0.002068042755126953
5	25	12.0	14	[0, 11, 12, 2, 3, 6]	0.001987457275390625
5	1	8.0	8	[6, 10, 4, 7]	0.0018978118896484375
5	5	8.0	8	[6, 10, 4, 7]	0.001241922378540039
5	10	5.0	8	[6, 10, 4, 7]	0.001836538314819336
5	15	5.0	8	[6, 10, 4, 7]	0.0013532638549804688
5	20	5.0	8	[6, 10, 4, 7]	0.0018606185913085938
5	25	5.0	8	[6, 10, 4, 7]	0.0019783973693847656
5	1	11.0	7	[8, 5, 9, 7]	0.001744985580444336
5	5	11.0	7	[8, 5, 9, 7]	0.0020945072174072266
5	10	11.0	7	[8, 5, 9, 7]	0.0014133453369140625
5	15	11.0	7	[8, 5, 9, 7]	0.0019388198852539062
5	20	12.0	8	[8, 5, 9, 7]	0.0013566017150878906
5	25	10.0	8	[8, 5, 9, 7]	0.0014488697052001953
5	1	16.0	9	[5, 9, 7, 4, 10]	0.0016758441925048828
5	5	16.0	9	[5, 9, 7, 4, 10]	0.0015854835510253906
5	10	13.0	9	[5, 9, 7, 4, 10]	0.0022940635681152344
5	15	13.0	9	[5, 9, 7, 4, 10]	0.002275705337524414
5	20	13.0	9	[5, 9, 7, 4, 10]	0.001543283462524414
5	25	11.0	9	[5, 9, 7, 4, 10]	0.0017702579498291016
5	1	8.0	8	[6, 10, 4, 7]	0.0009319782257080078
5	5	8.0	8	[6, 10, 4, 7]	0.0012476444244384766
5	10	25.0	19	[6, 3, 2, 12, 0, 11, 13, 0, 9, 7]	0.003280162811279297
5	15	5.0	8	[6, 10, 4, 7]	0.0012466907501220703
5	20	5.0	8	[6, 10, 4, 7]	0.0008707046508789062
5	25	5.0	8	[6, 10, 4, 7]	0.001741647720336914
5	1	38.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004871368408203125
5	5	38.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.0035822391510009766
5	10	35.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004212856292724609
5	15	31.0	26	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004041910171508789
5	20	31.0	26	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.006234407424926758
5	25	31.0	27	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.006690263748168945
5	1	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.003492593765258789
5	5	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.0035979747772216797
5	10	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.004246950149536133
5	15	14.0	15	[13, 0, 11, 12, 2, 3, 6]	0.0042667388916015625
5	20	14.0	15	[13, 0, 11, 12, 2, 3, 6]	0.003220796585083008
5	25	14.0	16	[13, 0, 11, 12, 2, 3, 6]	0.004122495651245117
5	1	40.0	26	[1, 2, 12, 0, 11, 13, 11, 0, 9, 7, 4, 10, 6]	0.0042264461517333984
5	5	10.0	7	[1, 2, 3, 6]	0.0016705989837646484
5	10	10.0	7	[1, 2, 3, 6]	0.00145721435546875
5	15	6.0	8	[1, 2, 3, 6]	0.0012593269348144531
5	20	6.0	8	[1, 2, 3, 6]	0.001268625259399414
5	25	6.0	9	[1, 2, 3, 6]	0.0011322498321533203
5	1	32.0	23	[9, 7, 4, 10, 6, 3, 2, 12, 0, 13, 11]	0.003072023391723633
5	5	26.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.003419160842895508
5	10	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.0038390159606933594
5	15	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.005525112152099609
5	20	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.004903078079223633
5	25	21.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.004269838333129883
