Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	56.0	50	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 11, 18, 11, 20, 0]	0.010492801666259766
5	5	55.0	53	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 7, 18, 9, 18, 9, 18]	0.007645845413208008
5	10	52.0	53	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 3, 4, 1, 4, 3, 21]	0.008346080780029297
5	15	10050.0	10051	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 6, 7, 6]	0.010036945343017578
5	20	10046.0	10049	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 9, 18, 9, 17, 2, 15]	0.010712385177612305
5	25	10018.0	10018	[7, 6, 13, 20, 11, 23, 12, 21, 3, 5, 0]	0.006146907806396484
5	1	19.0	23	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12]	0.004716396331787109
5	5	21.0	22	[2, 17, 9, 18, 3, 5, 22, 14, 16, 10, 15, 12]	0.005312681198120117
5	10	19.0	23	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12]	0.0071871280670166016
5	15	10018.0	10020	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12]	0.005272626876831055
5	20	10018.0	10020	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12]	0.004495382308959961
5	25	10018.0	10020	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12]	0.005624294281005859
5	1	45.0	36	[10, 3, 5, 22, 8, 16, 1, 4, 1, 4, 1, 16, 14, 19, 12, 23, 11]	0.004952192306518555
5	5	35.0	26	[10, 16, 1, 4, 3, 5, 0, 20, 13, 6, 7, 18, 11]	0.003648996353149414
5	10	27.0	27	[10, 3, 5, 22, 8, 16, 1, 4, 1, 4, 3, 18, 11]	0.0038690567016601562
5	15	10037.0	10028	[10, 3, 5, 22, 8, 16, 1, 4, 1, 16, 14, 19, 12, 23, 11]	0.0038068294525146484
5	20	10031.0	10023	[10, 3, 5, 22, 8, 16, 1, 4, 3, 21, 12, 23, 11]	0.003922700881958008
5	25	10037.0	10028	[10, 3, 5, 22, 8, 16, 1, 4, 1, 16, 14, 19, 12, 23, 11]	0.004756450653076172
5	1	53.0	51	[2, 15, 12, 23, 11, 18, 3, 5, 22, 8, 16, 10, 16, 1, 4, 3, 21, 3, 18, 7, 6, 13, 20, 0]	0.006554365158081055
5	5	57.0	51	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6, 7, 6, 7, 18, 11, 20, 0]	0.008113622665405273
5	10	52.0	55	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6, 7, 18, 7, 18, 7, 6, 13, 20]	0.008405208587646484
5	15	10055.0	10049	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6, 7, 6, 7, 6, 13, 6, 13, 20]	0.005871295928955078
5	20	10049.0	10050	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6, 7, 18, 7, 18, 9, 18, 9, 18]	0.010019063949584961
5	25	10051.0	10049	[2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6, 7, 6, 13, 6, 7, 18, 3, 4]	0.006632089614868164
5	1	42.0	29	[5, 3, 10, 16, 1, 4, 1, 16, 8, 22, 14, 19, 12, 23]	0.005361318588256836
5	5	26.0	19	[5, 3, 10, 16, 1, 4, 3, 18, 11, 23]	0.004137516021728516
5	10	26.0	19	[5, 3, 10, 16, 1, 4, 3, 18, 11, 23]	0.004358530044555664
5	15	22.0	20	[5, 3, 10, 16, 1, 4, 3, 18, 11, 23]	0.0033414363861083984
5	20	22.0	20	[5, 3, 10, 16, 1, 4, 3, 18, 11, 23]	0.0033097267150878906
5	25	10014.0	10013	[5, 22, 8, 16, 10, 3, 18, 11, 23]	0.0030336380004882812
5	1	10.0	10	[16, 10, 3, 5, 22, 8]	0.0026171207427978516
5	5	10.0	10	[16, 10, 3, 5, 22, 8]	0.002739429473876953
5	10	10.0	10	[16, 10, 3, 5, 22, 8]	0.0020940303802490234
5	15	10.0	10	[16, 10, 3, 5, 22, 8]	0.0017056465148925781
5	20	10.0	10	[16, 10, 3, 5, 22, 8]	0.002135038375854492
5	25	10.0	10	[16, 10, 3, 5, 22, 8]	0.002192974090576172
5	1	67.0	53	[8, 22, 5, 3, 10, 16, 14, 19, 12, 23, 11, 18, 7, 6, 13, 20, 0, 20, 0, 5, 22, 8, 22, 14, 22]	0.006578683853149414
5	5	31.0	20	[8, 22, 5, 3, 10, 16, 14, 19, 12, 21]	0.003764629364013672
5	10	41.0	28	[8, 22, 5, 3, 10, 16, 1, 4, 3, 18, 11, 23, 12, 21]	0.0047607421875
5	15	10057.0	10051	[8, 22, 5, 3, 10, 16, 1, 4, 1, 16, 14, 19, 12, 23, 11, 18, 7, 6, 13, 20, 0, 20, 11, 18, 9]	0.007993221282958984
5	20	10057.0	10049	[8, 22, 5, 3, 10, 16, 1, 4, 1, 16, 14, 19, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 3, 21]	0.008740901947021484
5	25	10036.0	10039	[8, 16, 10, 3, 5, 22, 14, 19, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 3, 21]	0.008670568466186523
5	1	55.0	46	[15, 10, 3, 5, 22, 8, 16, 1, 4, 1, 4, 1, 16, 14, 19, 12, 23, 11, 18, 7, 6]	0.008113861083984375
5	5	48.0	48	[15, 12, 23, 11, 18, 3, 5, 22, 8, 16, 10, 16, 1, 4, 1, 4, 3, 21, 3, 18, 7, 6]	0.006673574447631836
5	10	69.0	54	[15, 12, 23, 11, 18, 3, 10, 16, 1, 4, 3, 5, 22, 8, 16, 14, 19, 14, 19, 14, 22, 5, 0, 20, 13]	0.007132291793823242
5	15	10042.0	10033	[15, 2, 17, 9, 18, 3, 5, 22, 8, 16, 10, 15, 12, 23, 11, 20, 13, 6]	0.0063669681549072266
5	20	10034.0	10034	[15, 12, 23, 11, 18, 3, 5, 22, 8, 16, 10, 15, 2, 17, 9, 18, 7, 6]	0.006143093109130859
