Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	41.0	34	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 10, 6, 3, 2, 12]	0.007470607757568359
5	5	42.0	35	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 10, 6, 10, 4, 7]	0.004042863845825195
5	10	36.0	35	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 10, 4, 7, 4, 10]	0.003607034683227539
5	15	32.0	35	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 10, 6, 10, 4, 10]	0.004718303680419922
5	20	37.0	34	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 3, 2, 12, 11, 0]	0.004545450210571289
5	25	35.0	34	[3, 2, 1, 8, 5, 9, 7, 4, 10, 6, 3, 2, 12, 11, 0]	0.004678964614868164
5	1	43.0	33	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 8, 1, 2, 12]	0.004645347595214844
5	5	45.0	33	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 9, 7, 4, 7]	0.0037224292755126953
5	10	37.0	33	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 8, 5, 9, 0]	0.004161357879638672
5	15	36.0	32	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 9, 5, 9, 0]	0.0036466121673583984
5	20	33.0	33	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 9, 2, 12, 11]	0.004058361053466797
5	25	35.0	37	[0, 9, 7, 4, 10, 6, 3, 2, 1, 8, 5, 8, 5, 8, 1]	0.004560708999633789
5	1	19.0	14	[4, 7, 9, 2, 1, 8, 5]	0.0023250579833984375
5	5	19.0	14	[4, 7, 9, 2, 1, 8, 5]	0.002007007598876953
5	10	16.0	14	[4, 7, 9, 2, 1, 8, 5]	0.003916740417480469
5	15	12.0	14	[4, 7, 9, 2, 1, 8, 5]	0.002641439437866211
5	20	13.0	15	[4, 7, 9, 2, 1, 8, 5]	0.0022749900817871094
5	25	13.0	15	[4, 7, 9, 2, 1, 8, 5]	0.003727436065673828
5	1	26.0	21	[10, 4, 7, 9, 2, 1, 8, 5, 9, 0]	0.0034906864166259766
5	5	20.0	16	[10, 4, 7, 9, 2, 12, 11, 0]	0.0015215873718261719
5	10	23.0	21	[10, 4, 7, 9, 2, 1, 8, 5, 9, 0]	0.003015756607055664
5	15	36.0	34	[10, 4, 7, 9, 2, 1, 8, 5, 8, 1, 8, 1, 8, 5, 8]	0.002862215042114258
5	20	34.0	26	[10, 4, 7, 9, 5, 8, 1, 2, 12, 11, 13, 0]	0.0029664039611816406
5	25	20.0	22	[10, 4, 7, 9, 2, 1, 8, 5, 9, 0]	0.0030241012573242188
5	1	19.0	11	[12, 2, 1, 8, 5, 9]	0.0015783309936523438
5	5	19.0	11	[12, 2, 1, 8, 5, 9]	0.002286195755004883
5	10	19.0	11	[12, 2, 1, 8, 5, 9]	0.0021140575408935547
5	15	15.0	11	[12, 2, 1, 8, 5, 9]	0.0014805793762207031
5	20	16.0	12	[12, 2, 1, 8, 5, 9]	0.0018436908721923828
5	25	16.0	12	[12, 2, 1, 8, 5, 9]	0.0022177696228027344
5	1	33.0	21	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.0033197402954101562
5	5	33.0	21	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.0032501220703125
5	10	30.0	21	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.002908468246459961
5	15	26.0	21	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.0038361549377441406
5	20	27.0	22	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.0033409595489501953
5	25	25.0	22	[12, 2, 1, 8, 5, 9, 7, 4, 10, 6]	0.003483295440673828
5	1	28.0	19	[3, 2, 1, 8, 5, 9, 7, 4, 10]	0.003069162368774414
