Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	12.0	9	[7, 6, 13, 20, 0]	0.004102945327758789
5	5	12.0	9	[7, 6, 13, 20, 0]	0.0028939247131347656
5	10	9.0	9	[7, 6, 13, 20, 0]	0.0016300678253173828
5	15	9.0	9	[7, 6, 13, 20, 0]	0.0018472671508789062
5	20	9.0	9	[7, 6, 13, 20, 0]	0.0014863014221191406
5	25	9.0	9	[7, 6, 13, 20, 0]	0.0018177032470703125
5	1	15.0	12	[2, 17, 9, 18, 11, 23, 12]	0.002359628677368164
5	5	15.0	12	[2, 17, 9, 18, 11, 23, 12]	0.002216339111328125
5	10	15.0	12	[2, 17, 9, 18, 11, 23, 12]	0.0021514892578125
5	15	16.0	13	[2, 17, 9, 18, 11, 23, 12]	0.0029680728912353516
5	20	16.0	13	[2, 17, 9, 18, 11, 23, 12]	0.0028007030487060547
5	25	16.0	13	[2, 17, 9, 18, 11, 23, 12]	0.0025386810302734375
5	1	14.0	12	[10, 15, 2, 17, 9, 18, 11]	0.002559661865234375
5	5	14.0	12	[10, 15, 2, 17, 9, 18, 11]	0.0036535263061523438
5	10	14.0	12	[10, 15, 2, 17, 9, 18, 11]	0.0022945404052734375
5	15	15.0	13	[10, 15, 2, 17, 9, 18, 11]	0.0019888877868652344
5	20	15.0	13	[10, 15, 2, 17, 9, 18, 11]	0.003130197525024414
5	25	15.0	13	[10, 15, 2, 17, 9, 18, 11]	0.003551006317138672
5	1	20.0	17	[2, 15, 10, 16, 1, 4, 3, 5, 0]	0.002968311309814453
5	5	23.0	21	[2, 17, 9, 18, 11, 23, 12, 21, 3, 5, 0]	0.005383491516113281
5	10	23.0	21	[2, 17, 9, 18, 11, 23, 12, 21, 3, 5, 0]	0.004734516143798828
5	15	24.0	22	[2, 17, 9, 18, 11, 23, 12, 21, 3, 5, 0]	0.0043871402740478516
5	20	10048.0	10052	[2, 17, 9, 18, 11, 23, 12, 21, 3, 5, 22, 8, 16, 14, 19, 12, 15, 10, 3, 4, 1, 4, 1, 4, 3]	0.00727534294128418
5	25	10018.0	10018	[2, 17, 9, 18, 11, 23, 12, 21, 3, 5, 0]	0.004750728607177734
5	1	31.0	28	[5, 3, 4, 1, 16, 8, 22, 14, 19, 12, 21, 12, 23]	0.0064775943756103516
5	5	6.0	8	[5, 0, 20, 11, 23]	0.002126932144165039
5	10	6.0	8	[5, 0, 20, 11, 23]	0.002784252166748047
5	15	6.0	8	[5, 0, 20, 11, 23]	0.0020847320556640625
5	20	6.0	8	[5, 0, 20, 11, 23]	0.0017642974853515625
5	25	6.0	8	[5, 0, 20, 11, 23]	0.001924276351928711
5	1	5.0	2	[16, 8]	0.0006003379821777344
5	5	5.0	2	[16, 8]	0.0013668537139892578
5	10	50.0	53	[16, 1, 4, 3, 5, 0, 20, 11, 23, 12, 21, 12, 15, 10, 3, 18, 7, 6, 13, 6, 7, 18, 9, 17, 2]	0.007120609283447266
5	15	5.0	2	[16, 8]	0.0008978843688964844
5	20	5.0	2	[16, 8]	0.0006420612335205078
5	25	5.0	2	[16, 8]	0.0008161067962646484
5	1	15.0	12	[8, 22, 14, 19, 12, 21]	0.002050161361694336
5	5	15.0	12	[8, 22, 14, 19, 12, 21]	0.0019075870513916016
5	10	13.0	13	[8, 22, 14, 19, 12, 21]	0.0024459362030029297
5	15	10012.0	10009	[8, 16, 14, 19, 12, 21]	0.0022432804107666016
5	20	10007.0	10009	[8, 22, 14, 19, 12, 21]	0.003599882125854492
5	25	10007.0	10009	[8, 22, 14, 19, 12, 21]	0.0028717517852783203
5	1	56.0	51	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 9, 17, 2, 15, 2, 17, 2, 17]	0.008403539657592773
5	5	48.0	41	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6]	0.008418083190917969
5	10	63.0	52	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 9, 17, 2, 15, 10, 16, 1, 4]	0.009540557861328125
5	15	10041.0	10038	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6]	0.00956416130065918
5	20	10037.0	10038	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6]	0.007344961166381836
5	25	20059.0	20045	[15, 10, 16, 8, 22, 14, 19, 12, 21, 3, 5, 0, 20, 11, 23, 12, 23, 12, 23, 12, 15, 2, 17, 9, 18]	0.011153221130371094
5	1	5.0	4	[18, 11, 23]	0.002081155776977539
5	5	5.0	4	[18, 11, 23]	0.0010612010955810547
5	10	5.0	4	[18, 11, 23]	0.0008196830749511719
5	15	5.0	4	[18, 11, 23]	0.0010368824005126953
5	20	5.0	4	[18, 11, 23]	0.0011096000671386719
5	25	5.0	4	[18, 11, 23]	0.0011105537414550781
5	1	24.0	25	[5, 0, 20, 11, 23, 12, 21, 3, 18, 9, 17, 2, 15]	0.006664276123046875
5	5	45.0	41	[5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 14, 19, 12, 15]	0.00563812255859375
5	10	44.0	41	[5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 14, 16, 10, 15]	0.009847640991210938
5	15	20050.0	20044	[5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 14, 19, 14, 22, 8, 16, 10, 15]	0.009148597717285156
5	20	10030.0	10033	[5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 12, 15]	0.007309436798095703
5	25	20028.0	20029	[5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 12, 15]	0.007561922073364258
5	1	48.0	49	[3, 5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 12, 15, 2, 17, 9, 18, 7]	0.009424209594726562
5	5	54.0	44	[3, 5, 0, 20, 11, 23, 12, 21, 12, 15, 10, 16, 8, 22, 14, 19, 12, 23, 11, 18, 7]	0.006072521209716797
5	10	56.0	54	[3, 5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 8, 22, 14, 19, 14, 22, 8, 16, 10, 15, 2, 17, 9]	0.008118867874145508
5	15	10050.0	10041	[3, 5, 0, 20, 11, 23, 12, 21, 12, 15, 10, 16, 8, 22, 14, 19, 12, 23, 11, 18, 7]	0.006128072738647461
5	20	17.0	14	[3, 21, 12, 23, 11, 18, 7]	0.003509044647216797
5	25	20054.0	20047	[3, 5, 0, 20, 11, 23, 12, 15, 10, 16, 8, 22, 14, 19, 14, 16, 1, 4, 1, 4, 1, 4, 3, 21, 3]	0.00791311264038086
5	1	35.0	32	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.006484031677246094
5	5	35.0	32	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.007515430450439453
5	10	32.0	32	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.008949995040893555
5	15	10030.0	10028	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.00812077522277832
5	20	10030.0	10028	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.0074939727783203125
5	25	20028.0	20024	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14]	0.00965118408203125
5	1	31.0	22	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.0063419342041015625
5	5	31.0	22	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.005691051483154297
5	10	29.0	23	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.00503993034362793
5	15	10028.0	10020	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.004098176956176758
5	20	10024.0	10020	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.005666017532348633
5	25	10024.0	10020	[17, 2, 15, 10, 16, 8, 22, 14, 19, 12, 21]	0.005445241928100586
5	1	22.0	21	[12, 21, 3, 5, 0, 20, 11, 23, 12, 15, 10]	0.005621671676635742
5	5	57.0	54	[12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6, 13, 6, 13, 6, 7, 6, 7, 6, 7, 18, 9, 17, 2]	0.007380962371826172
5	10	54.0	54	[12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6, 13, 20, 11, 23, 11, 20, 0, 5, 22, 8, 16, 14, 19]	0.010814189910888672
5	15	42.0	44	[12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6, 13, 20, 11, 18, 9, 17, 2, 15, 10]	0.008746147155761719
5	20	4.0	4	[12, 15, 10]	0.0009264945983886719
5	25	10039.0	10044	[12, 21, 3, 5, 0, 20, 11, 23, 11, 18, 7, 6, 13, 20, 0, 20, 11, 18, 9, 17, 2, 15, 10]	0.007527351379394531
5	1	38.0	35	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.009347200393676758
5	5	38.0	35	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.008427858352661133
5	10	35.0	35	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.007723808288574219
5	15	10033.0	10031	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.008797407150268555
5	20	10033.0	10031	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.007143974304199219
5	25	20031.0	20027	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19]	0.006201744079589844
5	1	48.0	41	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 14, 16, 10]	0.00673365592956543
5	5	46.0	41	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 12, 15, 10]	0.00794672966003418
5	10	41.0	42	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 12, 15, 10]	0.007586240768432617
5	15	10039.0	10038	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 12, 15, 10]	0.010008096694946289
5	20	35.0	37	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19, 12, 15, 10]	0.005837917327880859
5	25	20037.0	20034	[21, 12, 23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16, 14, 19, 12, 15, 10]	0.008507251739501953
5	1	27.0	25	[23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16]	0.004770994186401367
5	5	27.0	25	[23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16]	0.005199432373046875
5	10	24.0	25	[23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16]	0.004202842712402344
5	15	10022.0	10021	[23, 11, 18, 7, 6, 13, 20, 0, 5, 22, 8, 16]	0.0057756900787353516
