Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	35	9	[3, 2, 12, 0, 13]	0.029360294342041016
5	5	35	9	[3, 2, 12, 0, 13]	0.026224851608276367
5	10	35	9	[3, 2, 12, 0, 13]	0.028331995010375977
5	15	35	9	[3, 2, 12, 0, 13]	0.023495912551879883
5	20	35	9	[3, 2, 12, 0, 13]	0.027028322219848633
5	25	35	9	[3, 2, 12, 0, 13]	0.02989935874938965
5	1	11	2	[0, 13]	0.01140594482421875
5	5	11	2	[0, 13]	0.011203527450561523
5	10	11	2	[0, 13]	0.012225627899169922
5	15	11	2	[0, 13]	0.011100292205810547
5	20	11	2	[0, 13]	0.010463714599609375
5	25	11	2	[0, 13]	0.009812355041503906
5	1	22	7	[4, 7, 9, 5]	0.013967275619506836
5	5	22	7	[4, 7, 9, 5]	0.014196157455444336
5	10	22	7	[4, 7, 9, 5]	0.014663934707641602
5	15	22	7	[4, 7, 9, 5]	0.013573408126831055
5	20	22	7	[4, 7, 9, 5]	0.015682220458984375
5	25	22	7	[4, 7, 9, 5]	0.011964082717895508
5	1	42	10	[10, 4, 7, 9, 0]	0.022511005401611328
5	5	42	10	[10, 4, 7, 9, 0]	0.01802515983581543
5	10	42	10	[10, 4, 7, 9, 0]	0.018793106079101562
5	15	42	10	[10, 4, 7, 9, 0]	0.01883244514465332
5	20	42	10	[10, 4, 7, 9, 0]	0.01714491844177246
5	25	42	10	[10, 4, 7, 9, 0]	0.016232967376708984
5	1	19	4	[12, 2, 9]	0.011775970458984375
5	5	19	4	[12, 2, 9]	0.013010501861572266
5	10	19	4	[12, 2, 9]	0.010898351669311523
5	15	19	4	[12, 2, 9]	0.009860754013061523
5	20	19	4	[12, 2, 9]	0.010496139526367188
5	25	19	4	[12, 2, 9]	0.011417627334594727
5	1	41	11	[12, 2, 12, 2, 3, 6]	0.028916597366333008
5	5	29	7	[12, 2, 3, 6]	0.03727841377258301
5	10	116	32	[12, 11, 0, 9, 5, 9, 5, 9, 7, 9, 5, 9, 7, 4, 10, 6]	0.02982950210571289
5	15	57	18	[12, 2, 12, 2, 3, 2, 3, 6]	0.026132822036743164
5	20	29	8	[12, 2, 3, 6]	0.02802872657775879
5	25	29	9	[12, 2, 3, 6]	0.027850627899169922
5	1	28	5	[3, 6, 10]	0.030249357223510742
5	5	28	5	[3, 6, 10]	0.0268404483795166
5	10	28	5	[3, 6, 10]	0.031191587448120117
5	15	28	5	[3, 6, 10]	0.032553911209106445
5	20	28	5	[3, 6, 10]	0.028569459915161133
5	25	28	5	[3, 6, 10]	0.030588626861572266
5	1	24	6	[11, 0, 9, 5]	0.01681208610534668
5	5	24	6	[11, 0, 9, 5]	0.021146059036254883
5	10	24	6	[11, 0, 9, 5]	0.019379138946533203
5	15	24	6	[11, 0, 9, 5]	0.01747584342956543
5	20	24	6	[11, 0, 9, 5]	0.018623828887939453
5	25	24	6	[11, 0, 9, 5]	0.01547694206237793
5	1	39	9	[0, 12, 2, 3, 6]	0.034516096115112305
5	5	39	9	[0, 12, 2, 3, 6]	0.03740358352661133
5	10	39	9	[0, 12, 2, 3, 6]	0.030442476272583008
5	15	39	10	[0, 12, 2, 3, 6]	0.03276968002319336
5	20	39	10	[0, 12, 2, 3, 6]	0.03426194190979004
5	25	39	11	[0, 12, 2, 3, 6]	0.035346031188964844
5	1	36	8	[6, 10, 4, 7]	0.020927906036376953
5	5	36	8	[6, 10, 4, 7]	0.02205657958984375
5	10	36	8	[6, 10, 4, 7]	0.019107580184936523
5	15	36	8	[6, 10, 4, 7]	0.018350601196289062
5	20	36	8	[6, 10, 4, 7]	0.016666412353515625
5	25	36	8	[6, 10, 4, 7]	0.017585039138793945
5	1	24	7	[8, 5, 9, 7]	0.014859676361083984
5	5	24	7	[8, 5, 9, 7]	0.01797771453857422
5	10	24	7	[8, 5, 9, 7]	0.016840457916259766
5	15	24	7	[8, 5, 9, 7]	0.017829179763793945
5	20	24	8	[8, 5, 9, 7]	0.014122724533081055
5	25	24	8	[8, 5, 9, 7]	0.01265263557434082
5	1	34	9	[5, 9, 7, 4, 10]	0.03272438049316406
5	5	44	13	[5, 9, 5, 9, 7, 4, 10]	0.042211294174194336
5	10	34	9	[5, 9, 7, 4, 10]	0.03317523002624512
5	15	34	9	[5, 9, 7, 4, 10]	0.02495121955871582
5	20	34	9	[5, 9, 7, 4, 10]	0.029534578323364258
5	25	34	9	[5, 9, 7, 4, 10]	0.0320897102355957
5	1	36	8	[6, 10, 4, 7]	0.017624855041503906
5	5	36	8	[6, 10, 4, 7]	0.01879143714904785
5	10	36	8	[6, 10, 4, 7]	0.020358800888061523
5	15	70	16	[6, 3, 2, 1, 8, 5, 9, 7]	0.016208887100219727
5	20	36	8	[6, 10, 4, 7]	0.016767501831054688
5	25	36	8	[6, 10, 4, 7]	0.01823878288269043
5	1	37	8	[11, 0, 9, 5, 8]	0.029594898223876953
5	5	42	9	[11, 12, 2, 1, 8]	0.027815580368041992
5	10	37	8	[11, 0, 9, 5, 8]	0.026723384857177734
5	15	37	8	[11, 0, 9, 5, 8]	0.02890920639038086
5	20	37	8	[11, 0, 9, 5, 8]	0.027754783630371094
5	25	37	8	[11, 0, 9, 5, 8]	0.02792954444885254
5	1	50	11	[13, 0, 12, 2, 3, 6]	0.03826642036437988
5	5	50	11	[13, 0, 12, 2, 3, 6]	0.035058021545410156
5	10	50	11	[13, 0, 12, 2, 3, 6]	0.03694558143615723
5	15	59	15	[13, 0, 11, 12, 2, 3, 6]	0.03446650505065918
5	20	50	12	[13, 0, 12, 2, 3, 6]	0.03541445732116699
5	25	50	13	[13, 0, 12, 2, 3, 6]	0.035843849182128906
5	1	33	7	[1, 2, 3, 6]	0.027478456497192383
5	5	33	7	[1, 2, 3, 6]	0.026459932327270508
5	10	33	7	[1, 2, 3, 6]	0.029533863067626953
5	15	33	8	[1, 2, 3, 6]	0.024225473403930664
5	20	33	8	[1, 2, 3, 6]	0.026047229766845703
5	25	33	9	[1, 2, 3, 6]	0.027228832244873047
5	1	19	4	[9, 0, 11]	0.018667221069335938
5	5	19	4	[9, 0, 11]	0.016690969467163086
5	10	19	4	[9, 0, 11]	0.01639270782470703
5	15	32	6	[9, 2, 12, 11]	0.014606237411499023
5	20	19	4	[9, 0, 11]	0.015399694442749023
5	25	19	4	[9, 0, 11]	0.016421794891357422
5	1	30	8	[11, 0, 12, 2, 3]	0.01921820640563965
5	5	30	8	[11, 0, 12, 2, 3]	0.018937110900878906
5	10	30	8	[11, 0, 12, 2, 3]	0.017914295196533203
5	15	30	9	[11, 0, 12, 2, 3]	0.019961833953857422
5	20	27	8	[11, 12, 2, 3]	0.0205385684967041
5	25	30	10	[11, 0, 12, 2, 3]	0.019011735916137695
5	1	42	11	[4, 7, 9, 7, 9, 2]	0.012251138687133789
5	5	30	7	[4, 7, 9, 2]	0.01209878921508789
5	10	30	7	[4, 7, 9, 2]	0.012155771255493164
5	15	30	7	[4, 7, 9, 2]	0.011680364608764648
5	20	30	7	[4, 7, 9, 2]	0.011804819107055664
5	25	30	7	[4, 7, 9, 2]	0.012137889862060547
5	1	36	9	[4, 7, 9, 0, 11]	0.022984981536865234
5	5	36	9	[4, 7, 9, 0, 11]	0.023000001907348633
5	10	36	9	[4, 7, 9, 0, 11]	0.02247142791748047
5	15	36	9	[4, 7, 9, 0, 11]	0.022015810012817383
5	20	36	9	[4, 7, 9, 0, 11]	0.0217130184173584
5	25	70	17	[4, 10, 6, 3, 2, 12, 0, 11]	0.022077322006225586
6	1	36	6	[6, 3, 2, 9]	0.01939845085144043
6	5	36	6	[6, 3, 2, 9]	0.020868778228759766
6	10	36	6	[6, 3, 2, 9]	0.019255876541137695
6	15	36	6	[6, 3, 2, 9]	0.022934675216674805
6	20	36	6	[6, 3, 2, 9]	0.0163421630859375
6	25	36	6	[6, 3, 2, 9]	0.015193939208984375
6	1	41	10	[12, 0, 11, 0, 9, 7]	0.028192758560180664
6	5	25	6	[12, 2, 9, 7]	0.02767658233642578
6	10	25	6	[12, 2, 9, 7]	0.04135751724243164
6	15	25	8	[12, 2, 9, 7]	0.022227048873901367
6	20	25	8	[12, 2, 9, 7]	0.02161860466003418
6	25	29	7	[12, 0, 9, 7]	0.019887685775756836
6	1	40	8	[1, 2, 9, 7, 4]	0.03786134719848633
6	5	48	11	[1, 8, 5, 9, 7, 4]	0.043424367904663086
6	10	40	10	[1, 2, 9, 7, 4]	0.037400245666503906
6	15	40	10	[1, 2, 9, 7, 4]	0.05079770088195801
6	20	81	10018	[1, 2, 12, 0, 11, 12, 2, 9, 7, 4]	0.043840885162353516
6	25	40	10005	[1, 2, 9, 7, 4]	0.04883527755737305
6	1	11	2	[7, 4]	0.017759084701538086
6	5	11	2	[7, 4]	0.01618337631225586
6	10	11	2	[7, 4]	0.01819467544555664
6	15	11	2	[7, 4]	0.016361474990844727
6	20	11	2	[7, 4]	0.013711690902709961
6	25	11	2	[7, 4]	0.01562047004699707
6	1	5	2	[9, 5]	0.009087800979614258
6	5	5	2	[9, 5]	0.010062217712402344
6	10	5	2	[9, 5]	0.011374711990356445
6	15	5	2	[9, 5]	0.009078264236450195
6	20	5	2	[9, 5]	0.010647296905517578
6	25	5	2	[9, 5]	0.009220123291015625
6	1	26	6	[3, 2, 9, 5]	0.02542567253112793
6	5	26	6	[3, 2, 9, 5]	0.026598691940307617
6	10	26	6	[3, 2, 9, 5]	0.02758622169494629
6	15	44	10	[3, 2, 1, 8, 5]	0.02459716796875
6	20	26	6	[3, 2, 9, 5]	0.022088289260864258
6	25	26	6	[3, 2, 9, 5]	0.018403053283691406
6	1	15	2	[6, 3]	0.008157968521118164
6	5	15	2	[6, 3]	0.009402990341186523
6	10	15	2	[6, 3]	0.010696887969970703
6	15	15	2	[6, 3]	0.010452508926391602
6	20	15	2	[6, 3]	0.010802507400512695
6	25	15	2	[6, 3]	0.010536909103393555
6	1	35	8	[13, 0, 12, 2, 3]	0.028649091720581055
6	5	63	14	[13, 11, 0, 12, 0, 12, 2, 3]	0.0321507453918457
6	10	35	8	[13, 0, 12, 2, 3]	0.03208422660827637
6	15	40	10007	[13, 11, 12, 2, 3]	0.027774333953857422
6	20	43	10009	[13, 11, 0, 12, 2, 3]	0.028092145919799805
6	25	53	10007	[13, 11, 0, 9, 2, 3]	0.038106441497802734
6	1	46	8	[8, 1, 2, 3, 6]	0.04714608192443848
6	5	46	8	[8, 1, 2, 3, 6]	0.04454469680786133
6	10	104	26	[8, 5, 9, 5, 9, 7, 4, 7, 9, 7, 4, 10, 6]	0.04559493064880371
6	15	54	11	[8, 5, 9, 2, 3, 6]	0.04356098175048828
6	20	60	13	[8, 5, 9, 7, 4, 10, 6]	0.041091203689575195
6	25	54	11	[8, 5, 9, 2, 3, 6]	0.04414057731628418
6	1	16	4	[0, 12, 2]	0.016696453094482422
6	5	16	4	[0, 12, 2]	0.016193866729736328
6	10	16	4	[0, 12, 2]	0.01613640785217285
6	15	16	6	[0, 12, 2]	0.01536870002746582
6	20	16	6	[0, 12, 2]	0.015622138977050781
6	25	38	8	[0, 11, 0, 9, 2]	0.029940366744995117
6	1	42	8	[10, 4, 7, 9, 0]	0.026330232620239258
6	5	42	8	[10, 4, 7, 9, 0]	0.025398731231689453
6	10	42	8	[10, 4, 7, 9, 0]	0.024305343627929688
6	15	42	8	[10, 4, 7, 9, 0]	0.023246288299560547
6	20	42	8	[10, 4, 7, 9, 0]	0.0240938663482666
6	25	42	8	[10, 4, 7, 9, 0]	0.022541046142578125
6	1	5	3	[5, 9]	0.003479480743408203
6	5	5	3	[5, 9]	0.0035240650177001953
6	10	127	29	[5, 8, 1, 2, 12, 2, 3, 6, 3, 2, 1, 2, 9]	0.004064321517944336
6	15	5	3	[5, 9]	0.0032243728637695312
6	20	5	3	[5, 9]	0.002946615219116211
6	25	5	3	[5, 9]	0.0030825138092041016
6	1	31	6	[8, 1, 2, 3]	0.024878978729248047
6	5	31	6	[8, 1, 2, 3]	0.023660898208618164
6	10	31	8	[8, 1, 2, 3]	0.024693012237548828
6	15	31	8	[8, 1, 2, 3]	0.024176836013793945
6	20	39	9	[8, 5, 9, 2, 3]	0.025231599807739258
6	25	39	9	[8, 5, 9, 2, 3]	0.025339841842651367
6	1	29	7	[5, 9, 0, 13]	0.03270435333251953
