Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	30	9	[7, 18, 3, 5, 0]	0.040344953536987305
5	5	30	9	[7, 18, 3, 5, 0]	0.037125587463378906
5	10	30	9	[7, 18, 3, 5, 0]	0.032471656799316406
5	15	30	9	[7, 18, 3, 5, 0]	0.03029012680053711
5	20	30	9	[7, 18, 3, 5, 0]	0.029852867126464844
5	25	30	9	[7, 18, 3, 5, 0]	0.0279543399810791
5	1	29	4	[2, 15, 12]	0.02977156639099121
5	5	29	4	[2, 15, 12]	0.03167915344238281
5	10	29	4	[2, 15, 12]	0.04347658157348633
5	15	29	4	[2, 15, 12]	0.039119720458984375
5	20	29	4	[2, 15, 12]	0.057964324951171875
5	25	29	4	[2, 15, 12]	0.04665374755859375
5	1	51	13	[10, 15, 12, 21, 3, 18, 11]	0.05799531936645508
5	5	31	6	[10, 3, 18, 11]	0.05195784568786621
5	10	73	14	[10, 15, 12, 15, 10, 3, 18, 11]	0.05869626998901367
5	15	54	13	[10, 15, 12, 21, 12, 23, 11]	0.04873204231262207
5	20	78	19	[10, 16, 14, 19, 12, 21, 3, 18, 11]	0.05450034141540527
5	25	47	10	[10, 16, 10, 3, 18, 11]	0.05174446105957031
5	1	53	12	[2, 17, 9, 18, 3, 5, 0]	0.06141519546508789
5	5	53	12	[2, 17, 9, 18, 3, 5, 0]	0.06058692932128906
5	10	61	14	[2, 17, 2, 15, 10, 3, 5, 0]	0.0490880012512207
5	15	71	17	[2, 17, 9, 18, 3, 5, 22, 5, 0]	0.05433297157287598
5	20	97	22	[2, 17, 2, 15, 2, 17, 9, 18, 3, 5, 0]	0.06686592102050781
5	25	165	31	[2, 15, 10, 16, 1, 4, 1, 16, 14, 16, 14, 22, 5, 22, 5, 0]	0.0537717342376709
5	1	46	12	[5, 0, 5, 3, 18, 11, 23]	0.06936478614807129
5	5	105	28	[5, 3, 4, 3, 21, 12, 19, 14, 22, 5, 3, 18, 11, 23]	0.10764813423156738
5	10	31	9	[5, 3, 21, 12, 23]	0.07223320007324219
5	15	31	9	[5, 3, 21, 12, 23]	0.05407595634460449
5	20	31	9	[5, 3, 21, 12, 23]	0.04690909385681152
5	25	30	8	[5, 3, 18, 11, 23]	0.0565180778503418
5	1	13	2	[16, 8]	0.03325605392456055
5	5	13	2	[16, 8]	0.02289438247680664
5	10	13	2	[16, 8]	0.02273869514465332
5	15	13	2	[16, 8]	0.02013087272644043
5	20	13	2	[16, 8]	0.02479863166809082
5	25	13	2	[16, 8]	0.024154186248779297
5	1	27	9	[8, 22, 5, 3, 21]	0.04394841194152832
5	5	27	9	[8, 22, 5, 3, 21]	0.04680967330932617
5	10	27	9	[8, 22, 5, 3, 21]	0.03625226020812988
5	15	27	10005	[8, 22, 5, 3, 21]	0.03809309005737305
5	20	69	10013	[8, 16, 1, 4, 3, 10, 3, 21]	0.04103684425354004
5	25	63	10013	[8, 16, 1, 4, 1, 4, 3, 21]	0.04087543487548828
5	1	70	19	[15, 10, 16, 1, 4, 3, 18, 7, 6]	0.08795595169067383
5	5	53	15	[15, 12, 21, 3, 18, 7, 6]	0.08517074584960938
5	10	82	17	[15, 12, 23, 11, 23, 11, 20, 13, 6]	0.0942530632019043
5	15	61	16	[15, 10, 15, 10, 3, 18, 7, 6]	0.09501910209655762
5	20	47	12	[15, 10, 3, 18, 7, 6]	0.06159210205078125
5	25	101	25	[15, 2, 17, 2, 17, 2, 17, 9, 18, 7, 6]	0.07312512397766113
5	1	20	4	[18, 11, 23]	0.0471649169921875
5	5	20	4	[18, 11, 23]	0.052015066146850586
5	10	20	4	[18, 11, 23]	0.04575014114379883
5	15	20	4	[18, 11, 23]	0.04924154281616211
5	20	20	4	[18, 11, 23]	0.03379631042480469
5	25	20	4	[18, 11, 23]	0.03229856491088867
5	1	24	6	[5, 3, 10, 15]	0.03846573829650879
5	5	185	37	[5, 0, 20, 13, 6, 7, 6, 13, 20, 11, 23, 11, 18, 11, 23, 11, 23, 12, 15]	0.04868602752685547
5	10	87	22	[5, 3, 21, 12, 19, 14, 22, 5, 3, 10, 15]	0.040145158767700195
5	15	24	7	[5, 3, 10, 15]	0.04073071479797363
5	20	24	7	[5, 3, 10, 15]	0.034664154052734375
5	25	24	7	[5, 3, 10, 15]	0.06276607513427734
5	1	17	5	[3, 18, 7]	0.0658266544342041
5	5	17	5	[3, 18, 7]	0.04967379570007324
5	10	27	9	[3, 18, 3, 18, 7]	0.053969383239746094
5	15	17	5	[3, 18, 7]	0.04578423500061035
5	20	17	5	[3, 18, 7]	0.04688215255737305
5	25	17	5	[3, 18, 7]	0.04625678062438965
5	1	31	7	[21, 12, 19, 14]	0.07050228118896484
5	5	56	13	[21, 3, 10, 3, 5, 22, 14]	0.0758659839630127
5	10	32	9	[21, 3, 5, 22, 14]	0.05814385414123535
5	15	32	9	[21, 3, 5, 22, 14]	0.06122636795043945
5	20	107	23	[21, 3, 5, 0, 20, 11, 23, 12, 15, 10, 16, 14]	0.0679616928100586
5	25	32	10005	[21, 3, 5, 22, 14]	0.05440044403076172
5	1	42	8	[17, 2, 15, 12, 21]	0.03593254089355469
5	5	52	12	[17, 2, 17, 9, 18, 3, 21]	0.0331265926361084
5	10	83	18	[17, 2, 15, 10, 16, 14, 19, 12, 21]	0.030130624771118164
5	15	42	9	[17, 2, 15, 12, 21]	0.02609729766845703
5	20	42	9	[17, 2, 15, 12, 21]	0.03137826919555664
5	25	42	9	[17, 2, 15, 12, 21]	0.035538434982299805
5	1	23	7	[12, 21, 3, 10]	0.045307159423828125
5	5	51	11	[12, 15, 12, 21, 3, 10]	0.045436859130859375
5	10	23	7	[12, 21, 3, 10]	0.04246211051940918
5	15	21	4	[12, 15, 10]	0.03797149658203125
5	20	46	14	[12, 21, 3, 4, 1, 16, 10]	0.03325939178466797
5	25	21	4	[12, 15, 10]	0.025326013565063477
5	1	19	5	[21, 12, 19]	0.04529905319213867
5	5	19	5	[21, 12, 19]	0.03656888008117676
5	10	19	5	[21, 12, 19]	0.04917740821838379
5	15	19	5	[21, 12, 19]	0.0549616813659668
5	20	19	5	[21, 12, 19]	0.06415510177612305
5	25	277	10068	[21, 3, 4, 3, 18, 3, 5, 3, 5, 0, 20, 13, 6, 7, 6, 13, 20, 11, 23, 11, 20, 0, 5, 3, 18, 7, 18, 3, 4, 1, 16, 14, 19]	0.08281779289245605
5	1	17	5	[21, 3, 10]	0.03339242935180664
5	5	17	5	[21, 3, 10]	0.031780242919921875
5	10	17	5	[21, 3, 10]	0.03617548942565918
5	15	17	6	[21, 3, 10]	0.049323081970214844
5	20	17	6	[21, 3, 10]	0.048514604568481445
5	25	27	10003	[21, 12, 15, 10]	0.05382108688354492
5	1	56	16	[23, 12, 21, 3, 21, 3, 10, 16]	0.06939935684204102
5	5	67	12	[23, 11, 23, 12, 19, 14, 16]	0.11539125442504883
5	10	57	14	[23, 11, 23, 11, 18, 3, 10, 16]	0.07718563079833984
5	15	98	30	[23, 11, 23, 12, 21, 3, 4, 1, 4, 3, 5, 3, 10, 16]	0.07825589179992676
5	20	85	19	[23, 11, 23, 11, 18, 9, 18, 3, 10, 16]	0.06451916694641113
5	25	155	32	[23, 11, 20, 13, 20, 0, 20, 13, 6, 13, 20, 11, 18, 3, 10, 16]	0.053279876708984375
5	1	8	2	[10, 16]	0.011463642120361328
5	5	8	2	[10, 16]	0.011661767959594727
5	10	8	2	[10, 16]	0.012477636337280273
5	15	8	2	[10, 16]	0.012553930282592773
5	20	8	2	[10, 16]	0.015237808227539062
5	25	8	2	[10, 16]	0.014385700225830078
5	1	109	24	[20, 0, 5, 0, 5, 3, 18, 9, 17, 2, 17, 2, 15]	0.058489084243774414
5	5	71	18	[20, 13, 20, 0, 5, 3, 18, 3, 10, 15]	0.04767966270446777
5	10	95	25	[20, 11, 23, 11, 18, 3, 5, 0, 5, 3, 21, 12, 15]	0.06092357635498047
5	15	115	26	[20, 13, 6, 7, 6, 13, 20, 0, 5, 3, 21, 12, 15]	0.06089067459106445
5	20	78	16	[20, 13, 20, 11, 23, 11, 23, 12, 15]	0.06692147254943848
5	25	43	11	[20, 0, 5, 3, 10, 15]	0.05370807647705078
5	1	52	10	[15, 12, 15, 10, 3, 18]	0.030870914459228516
5	5	24	6	[15, 10, 3, 18]	0.06639242172241211
5	10	24	6	[15, 10, 3, 18]	0.07197308540344238
5	15	24	6	[15, 10, 3, 18]	0.060775041580200195
5	20	24	6	[15, 10, 3, 18]	0.06865739822387695
5	25	24	6	[15, 10, 3, 18]	0.06041359901428223
6	1	39	11	[19, 12, 21, 3, 4, 1]	0.09931325912475586
6	5	39	11	[19, 12, 21, 3, 4, 1]	0.08073973655700684
6	10	39	6	[19, 14, 16, 1]	0.06234240531921387
6	15	61	19	[19, 12, 21, 3, 21, 12, 21, 3, 4, 1]	0.05686450004577637
6	20	54	11	[19, 12, 15, 10, 16, 1]	0.057898759841918945
6	25	39	11	[19, 12, 21, 3, 4, 1]	0.05518603324890137
6	1	11	5	[4, 3, 18]	0.023726940155029297
6	5	11	5	[4, 3, 18]	0.023637056350708008
6	10	11	5	[4, 3, 18]	0.01831960678100586
6	15	11	5	[4, 3, 18]	0.021102428436279297
6	20	11	5	[4, 3, 18]	0.018758773803710938
6	25	11	5	[4, 3, 18]	0.018074512481689453
6	1	39	11	[13, 20, 0, 5, 3, 4]	0.05533552169799805
6	5	39	11	[13, 20, 0, 5, 3, 4]	0.043587446212768555
6	10	39	11	[13, 20, 0, 5, 3, 4]	0.041521310806274414
6	15	39	11	[13, 20, 0, 5, 3, 4]	0.04969906806945801
6	20	39	13	[13, 20, 0, 5, 3, 4]	0.0406341552734375
6	25	59	17	[13, 20, 11, 23, 11, 18, 3, 4]	0.03800487518310547
6	1	37	6	[9, 18, 7, 6]	0.07327699661254883
6	5	37	6	[9, 18, 7, 6]	0.07924413681030273
6	10	37	8	[9, 18, 7, 6]	0.07484245300292969
6	15	37	8	[9, 18, 7, 6]	0.0813455581665039
6	20	37	8	[9, 18, 7, 6]	0.06886768341064453
6	25	37	9	[9, 18, 7, 6]	0.06726598739624023
6	1	42	8	[17, 2, 15, 12, 21]	0.05875587463378906
6	5	214	46	[17, 9, 18, 11, 20, 0, 5, 22, 8, 16, 1, 16, 8, 22, 5, 0, 5, 3, 4, 1, 4, 3, 21]	0.04063224792480469
6	10	92	19	[17, 2, 15, 12, 19, 14, 19, 12, 21]	0.03872942924499512
6	15	42	9	[17, 2, 15, 12, 21]	0.04379463195800781
6	20	42	9	[17, 2, 15, 12, 21]	0.03890538215637207
6	25	66	10010	[17, 9, 18, 9, 18, 3, 21]	0.035247802734375
6	1	17	4	[8, 22, 5]	0.022243499755859375
6	5	17	4	[8, 22, 5]	0.02150702476501465
6	10	17	4	[8, 22, 5]	0.020563602447509766
6	15	17	4	[8, 22, 5]	0.0191037654876709
6	20	17	4	[8, 22, 5]	0.01943802833557129
6	25	17	4	[8, 22, 5]	0.02430129051208496
6	1	33	7	[8, 22, 14, 19]	0.05925393104553223
6	5	33	7	[8, 22, 14, 19]	0.06624221801757812
6	10	40	7	[8, 16, 14, 19]	0.06922411918640137
6	15	33	7	[8, 22, 14, 19]	0.10733914375305176
6	20	33	7	[8, 22, 14, 19]	0.062058448791503906
6	25	33	7	[8, 22, 14, 19]	0.05519294738769531
6	1	134	36	[12, 19, 12, 21, 3, 5, 0, 5, 22, 5, 3, 21, 3, 18, 3, 18, 9, 17]	0.09088540077209473
6	5	54	14	[12, 21, 3, 18, 3, 18, 9, 17]	0.09713101387023926
6	10	148	51	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.17599916458129883
6	15	36	7	[12, 15, 2, 17]	0.1713418960571289
6	20	88	27	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.16100144386291504
6	25	454	20170	[12, 21, 3, 21, 3, 21, 3, 5, 0, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.1453571319580078
6	1	15	2	[15, 2]	0.03698277473449707
6	5	15	2	[15, 2]	0.03242087364196777
6	10	15	2	[15, 2]	0.03671622276306152
6	15	15	2	[15, 2]	0.03829169273376465
6	20	15	2	[15, 2]	0.039758920669555664
6	25	15	2	[15, 2]	0.03630781173706055
6	1	27	5	[16, 14, 19]	0.060492753982543945
6	5	27	5	[16, 14, 19]	0.054720401763916016
6	10	27	5	[16, 14, 19]	0.056433916091918945
6	15	27	5	[16, 14, 19]	0.05043673515319824
6	20	27	5	[16, 14, 19]	0.05189156532287598
6	25	27	5	[16, 14, 19]	0.051172733306884766
6	1	24	7	[5, 3, 10, 15]	0.05515432357788086
6	5	34	11	[5, 3, 21, 3, 10, 15]	0.05151510238647461
6	10	40	11	[5, 3, 10, 16, 10, 15]	0.046959638595581055
6	15	30	8	[5, 3, 21, 12, 15]	0.044478416442871094
6	20	78	27	[5, 3, 4, 1, 4, 3, 10, 3, 10, 15]	0.04992055892944336
6	25	151	34	[5, 0, 20, 13, 6, 7, 6, 13, 20, 13, 20, 11, 23, 12, 15]	0.045838356018066406
6	1	27	4	[19, 14, 16]	0.03800654411315918
6	5	27	4	[19, 14, 16]	0.03873443603515625
6	10	27	4	[19, 14, 16]	0.034358978271484375
6	15	27	4	[19, 14, 16]	0.03324317932128906
6	20	27	5	[19, 14, 16]	0.03665733337402344
6	25	27	5	[19, 14, 16]	0.03272891044616699
6	1	15	5	[15, 10, 16]	0.03133702278137207
6	5	15	5	[15, 10, 16]	0.028217792510986328
6	10	15	5	[15, 10, 16]	0.025368213653564453
6	15	15	5	[15, 10, 16]	0.02614760398864746
6	20	15	5	[15, 10, 16]	0.026955604553222656
6	25	15	5	[15, 10, 16]	0.023037433624267578
6	1	37	6	[6, 7, 18, 9]	0.06101059913635254
6	5	37	6	[6, 7, 18, 9]	0.04786109924316406
6	10	503	188	[6, 7, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 10, 15, 2, 17, 9]	0.6352534294128418
6	15	1841	722	[6, 7, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 4, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 10, 15, 2, 17, 9]	0.6112501621246338
6	20	637	245	[6, 7, 18, 3, 21, 3, 4, 3, 4, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 10, 15, 2, 17, 9]	0.6202776432037354
6	25	113	33	[6, 7, 18, 3, 21, 3, 21, 3, 21, 3, 10, 15, 2, 17, 9]	0.7963113784790039
6	1	73	16	[9, 18, 3, 18, 7, 18, 3, 10, 16]	0.05738377571105957
6	5	59	16	[9, 18, 3, 18, 3, 21, 3, 10, 16]	0.060775041580200195
6	10	90	27	[9, 18, 3, 5, 0, 5, 22, 5, 3, 4, 1, 16]	0.04886674880981445
6	15	39	9	[9, 18, 3, 10, 16]	0.048882246017456055
6	20	226	51	[9, 18, 7, 6, 13, 6, 13, 20, 11, 23, 11, 23, 12, 21, 12, 19, 14, 19, 14, 22, 8, 16]	0.04722261428833008
6	25	51	12	[9, 17, 2, 15, 10, 16]	0.04333376884460449
6	1	54	14	[12, 21, 3, 18, 3, 18, 9, 17]	0.09826183319091797
6	5	36	6	[12, 15, 2, 17]	0.09089159965515137
6	10	748	293	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.16875481605529785
6	15	162	59	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 10, 15, 2, 17]	0.16430997848510742
6	20	284	103	[12, 21, 3, 21, 3, 21, 3, 18, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 12, 23, 11, 23, 12, 15, 10, 15, 2, 17]	0.1376338005065918
