Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	40	9	[3, 2, 12, 11, 13]	0.02527928352355957
5	5	40	9	[3, 2, 12, 11, 13]	0.024452924728393555
5	10	35	9	[3, 2, 12, 0, 13]	0.023512840270996094
5	15	51	15	[3, 2, 3, 2, 12, 0, 13]	0.025437355041503906
5	20	55	13	[3, 2, 9, 5, 9, 0, 13]	0.023767709732055664
5	25	71	20	[3, 2, 3, 2, 12, 0, 12, 0, 13]	0.02406167984008789
5	1	11	2	[0, 13]	0.011931657791137695
5	5	11	2	[0, 13]	0.011791706085205078
5	10	11	2	[0, 13]	0.01169276237487793
5	15	11	2	[0, 13]	0.011925220489501953
5	20	11	2	[0, 13]	0.011949777603149414
5	25	11	2	[0, 13]	0.011906623840332031
5	1	22	7	[4, 7, 9, 5]	0.013829946517944336
5	5	22	7	[4, 7, 9, 5]	0.015272140502929688
5	10	66	14	[4, 7, 9, 2, 1, 8, 5]	0.014081239700317383
5	15	22	7	[4, 7, 9, 5]	0.014538049697875977
5	20	22	7	[4, 7, 9, 5]	0.013997793197631836
5	25	22	7	[4, 7, 9, 5]	0.01382756233215332
5	1	42	10	[10, 4, 7, 9, 0]	0.016336679458618164
5	5	54	14	[10, 4, 7, 9, 7, 9, 0]	0.016850948333740234
5	10	54	14	[10, 4, 7, 9, 7, 9, 0]	0.016345977783203125
5	15	42	10	[10, 4, 7, 9, 0]	0.0159299373626709
5	20	42	10	[10, 4, 7, 9, 0]	0.015806198120117188
5	25	42	10	[10, 4, 7, 9, 0]	0.016271114349365234
5	1	19	4	[12, 2, 9]	0.00971364974975586
5	5	19	4	[12, 2, 9]	0.009941816329956055
5	10	19	4	[12, 2, 9]	0.009325981140136719
5	15	19	4	[12, 2, 9]	0.009449243545532227
5	20	19	4	[12, 2, 9]	0.011154651641845703
5	25	19	4	[12, 2, 9]	0.009284019470214844
5	1	29	7	[12, 2, 3, 6]	0.023078203201293945
5	5	29	7	[12, 2, 3, 6]	0.023680448532104492
5	10	45	12	[12, 2, 3, 2, 3, 6]	0.022870302200317383
5	15	29	8	[12, 2, 3, 6]	0.02007436752319336
5	20	29	8	[12, 2, 3, 6]	0.021561145782470703
5	25	29	9	[12, 2, 3, 6]	0.020456790924072266
5	1	28	5	[3, 6, 10]	0.02155327796936035
5	5	28	5	[3, 6, 10]	0.020691394805908203
5	10	28	5	[3, 6, 10]	0.020867586135864258
5	15	28	5	[3, 6, 10]	0.021045684814453125
5	20	58	10	[3, 6, 3, 6, 10]	0.02082228660583496
5	25	28	5	[3, 6, 10]	0.01951766014099121
5	1	24	6	[11, 0, 9, 5]	0.016102075576782227
5	5	24	6	[11, 0, 9, 5]	0.016020536422729492
5	10	24	6	[11, 0, 9, 5]	0.015568971633911133
5	15	24	6	[11, 0, 9, 5]	0.01769852638244629
5	20	24	6	[11, 0, 9, 5]	0.016385555267333984
5	25	24	6	[11, 0, 9, 5]	0.015463113784790039
5	1	89	20	[0, 9, 7, 9, 5, 8, 1, 2, 3, 6]	0.029485702514648438
5	5	39	9	[0, 12, 2, 3, 6]	0.02852034568786621
5	10	48	12	[0, 11, 12, 2, 3, 6]	0.02828383445739746
5	15	39	10	[0, 12, 2, 3, 6]	0.02529287338256836
5	20	61	14	[0, 13, 0, 12, 2, 3, 6]	0.026958703994750977
5	25	51	15	[0, 12, 2, 12, 2, 3, 6]	0.02559375762939453
5	1	36	8	[6, 10, 4, 7]	0.01723170280456543
5	5	36	8	[6, 10, 4, 7]	0.017059326171875
5	10	62	13	[6, 10, 6, 10, 4, 7]	0.01627039909362793
5	15	66	13	[6, 3, 6, 10, 4, 7]	0.01590895652770996
5	20	36	8	[6, 10, 4, 7]	0.015824317932128906
5	25	36	8	[6, 10, 4, 7]	0.015176057815551758
5	1	24	7	[8, 5, 9, 7]	0.015219688415527344
5	5	24	7	[8, 5, 9, 7]	0.015048503875732422
5	10	24	7	[8, 5, 9, 7]	0.014122247695922852
5	15	24	7	[8, 5, 9, 7]	0.01535344123840332
5	20	24	8	[8, 5, 9, 7]	0.01732158660888672
5	25	34	12	[8, 5, 9, 5, 9, 7]	0.013109683990478516
5	1	34	9	[5, 9, 7, 4, 10]	0.02743244171142578
5	5	98	24	[5, 9, 0, 11, 0, 12, 2, 3, 2, 3, 6, 10]	0.028985977172851562
5	10	34	9	[5, 9, 7, 4, 10]	0.025889873504638672
5	15	34	9	[5, 9, 7, 4, 10]	0.024952411651611328
5	20	34	9	[5, 9, 7, 4, 10]	0.025559425354003906
5	25	34	9	[5, 9, 7, 4, 10]	0.02689814567565918
5	1	36	8	[6, 10, 4, 7]	0.025960683822631836
5	5	36	8	[6, 10, 4, 7]	0.016522645950317383
5	10	36	8	[6, 10, 4, 7]	0.016556739807128906
5	15	36	8	[6, 10, 4, 7]	0.0161130428314209
5	20	70	17	[6, 3, 2, 1, 8, 5, 9, 7]	0.016057729721069336
5	25	86	19	[6, 10, 4, 10, 6, 10, 4, 7]	0.015209674835205078
5	1	79	16	[11, 0, 9, 0, 12, 2, 9, 5, 8]	0.02631974220275879
5	5	37	8	[11, 0, 9, 5, 8]	0.026044368743896484
5	10	37	8	[11, 0, 9, 5, 8]	0.025582313537597656
5	15	37	8	[11, 0, 9, 5, 8]	0.024624347686767578
5	20	37	8	[11, 0, 9, 5, 8]	0.02645564079284668
5	25	37	8	[11, 0, 9, 5, 8]	0.025928974151611328
5	1	50	11	[13, 0, 12, 2, 3, 6]	0.030124902725219727
5	5	67	16	[13, 11, 0, 11, 12, 2, 3, 6]	0.03130793571472168
5	10	100	23	[13, 0, 9, 7, 4, 7, 9, 7, 4, 10, 6]	0.031397342681884766
5	15	58	14	[13, 11, 0, 12, 2, 3, 6]	0.02631545066833496
5	20	96	22	[13, 0, 9, 5, 8, 5, 9, 2, 3, 6]	0.02773261070251465
5	25	58	15	[13, 11, 0, 12, 2, 3, 6]	0.028027057647705078
5	1	33	7	[1, 2, 3, 6]	0.022791147232055664
5	5	33	7	[1, 2, 3, 6]	0.023670434951782227
5	10	33	7	[1, 2, 3, 6]	0.022561073303222656
5	15	33	8	[1, 2, 3, 6]	0.01959514617919922
5	20	33	8	[1, 2, 3, 6]	0.02000737190246582
5	25	33	9	[1, 2, 3, 6]	0.019084453582763672
5	1	19	4	[9, 0, 11]	0.013385295867919922
5	5	19	4	[9, 0, 11]	0.012832164764404297
5	10	36	6	[9, 0, 12, 11]	0.013015270233154297
5	15	19	4	[9, 0, 11]	0.012949705123901367
5	20	19	4	[9, 0, 11]	0.012835264205932617
5	25	19	4	[9, 0, 11]	0.01345062255859375
5	1	40	8	[11, 0, 9, 2, 3]	0.019622325897216797
5	5	30	8	[11, 0, 12, 2, 3]	0.023097753524780273
5	10	27	7	[11, 12, 2, 3]	0.019626617431640625
5	15	27	8	[11, 12, 2, 3]	0.017466306686401367
5	20	27	8	[11, 12, 2, 3]	0.017251968383789062
5	25	27	9	[11, 12, 2, 3]	0.016771316528320312
5	1	52	12	[4, 7, 4, 7, 9, 2]	0.012551546096801758
5	5	30	7	[4, 7, 9, 2]	0.01226806640625
5	10	30	7	[4, 7, 9, 2]	0.01220250129699707
5	15	52	12	[4, 7, 4, 7, 9, 2]	0.013989686965942383
5	20	30	7	[4, 7, 9, 2]	0.012635946273803711
5	25	30	7	[4, 7, 9, 2]	0.011954069137573242
5	1	36	9	[4, 7, 9, 0, 11]	0.018405675888061523
5	5	36	9	[4, 7, 9, 0, 11]	0.01793956756591797
5	10	36	9	[4, 7, 9, 0, 11]	0.017982006072998047
5	15	36	9	[4, 7, 9, 0, 11]	0.01809239387512207
5	20	36	9	[4, 7, 9, 0, 11]	0.017615556716918945
5	25	36	9	[4, 7, 9, 0, 11]	0.017784833908081055
6	1	36	6	[6, 3, 2, 9]	0.01798105239868164
6	5	36	6	[6, 3, 2, 9]	0.017772197723388672
6	10	36	6	[6, 3, 2, 9]	0.01743793487548828
6	15	36	6	[6, 3, 2, 9]	0.01792001724243164
6	20	66	10	[6, 3, 6, 3, 2, 9]	0.015741825103759766
6	25	36	6	[6, 3, 2, 9]	0.015686750411987305
6	1	25	6	[12, 2, 9, 7]	0.02608656883239746
6	5	25	6	[12, 2, 9, 7]	0.02579951286315918
6	10	25	6	[12, 2, 9, 7]	0.024605512619018555
6	15	25	8	[12, 2, 9, 7]	0.02337646484375
6	20	25	8	[12, 2, 9, 7]	0.02077937126159668
6	25	65	17	[12, 0, 9, 5, 8, 5, 9, 7]	0.017439842224121094
6	1	40	8	[1, 2, 9, 7, 4]	0.0391535758972168
6	5	40	8	[1, 2, 9, 7, 4]	0.039304256439208984
6	10	40	10	[1, 2, 9, 7, 4]	0.03944849967956543
6	15	56	14	[1, 2, 3, 2, 9, 7, 4]	0.03745913505554199
6	20	74	10013	[1, 8, 5, 8, 5, 9, 7, 4]	0.03462505340576172
6	25	56	10009	[1, 2, 3, 2, 9, 7, 4]	0.031914710998535156
6	1	11	2	[7, 4]	0.016246557235717773
6	5	11	2	[7, 4]	0.0162661075592041
6	10	11	2	[7, 4]	0.014309883117675781
6	15	11	2	[7, 4]	0.013154745101928711
6	20	11	2	[7, 4]	0.012883901596069336
6	25	11	2	[7, 4]	0.012156248092651367
6	1	5	2	[9, 5]	0.00890660285949707
6	5	5	2	[9, 5]	0.00865936279296875
6	10	5	2	[9, 5]	0.008409500122070312
6	15	5	2	[9, 5]	0.007444143295288086
6	20	5	2	[9, 5]	0.008960485458374023
6	25	5	2	[9, 5]	0.007352590560913086
6	1	26	6	[3, 2, 9, 5]	0.0222930908203125
6	5	26	6	[3, 2, 9, 5]	0.027624130249023438
6	10	26	6	[3, 2, 9, 5]	0.023380756378173828
6	15	26	6	[3, 2, 9, 5]	0.023319005966186523
6	20	26	6	[3, 2, 9, 5]	0.019404888153076172
6	25	26	6	[3, 2, 9, 5]	0.020022153854370117
6	1	15	2	[6, 3]	0.009229421615600586
6	5	15	2	[6, 3]	0.009907960891723633
6	10	15	2	[6, 3]	0.009813547134399414
6	15	15	2	[6, 3]	0.008580207824707031
6	20	15	2	[6, 3]	0.009576797485351562
6	25	15	2	[6, 3]	0.010111093521118164
6	1	35	8	[13, 0, 12, 2, 3]	0.030023574829101562
6	5	35	8	[13, 0, 12, 2, 3]	0.030088186264038086
6	10	35	8	[13, 0, 12, 2, 3]	0.02884984016418457
6	15	43	10009	[13, 11, 0, 12, 2, 3]	0.02662944793701172
6	20	40	10007	[13, 11, 12, 2, 3]	0.024888992309570312
6	25	45	10005	[13, 0, 9, 2, 3]	0.03380250930786133
6	1	46	8	[8, 1, 2, 3, 6]	0.044084787368774414
6	5	60	13	[8, 5, 9, 7, 4, 10, 6]	0.04570603370666504
6	10	46	10	[8, 1, 2, 3, 6]	0.04129791259765625
6	15	46	10	[8, 1, 2, 3, 6]	0.04174470901489258
6	20	256	90	[8, 5, 9, 5, 9, 5, 8, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 8, 5, 9, 5, 9, 5, 9, 0, 11, 0, 11, 0, 12, 2, 3, 6]	0.08402323722839355
6	25	180	73	[8, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 7, 4, 10, 6]	0.15590143203735352
6	1	16	4	[0, 12, 2]	0.016064167022705078
6	5	16	4	[0, 12, 2]	0.016127824783325195
6	10	16	4	[0, 12, 2]	0.015821456909179688
6	15	16	6	[0, 12, 2]	0.013837337493896484
6	20	45	12	[0, 12, 11, 0, 12, 2]	0.01324152946472168
6	25	38	8	[0, 11, 0, 9, 2]	0.018605470657348633
6	1	42	8	[10, 4, 7, 9, 0]	0.025077342987060547
6	5	42	8	[10, 4, 7, 9, 0]	0.024341106414794922
6	10	42	8	[10, 4, 7, 9, 0]	0.02504873275756836
6	15	42	8	[10, 4, 7, 9, 0]	0.025156497955322266
6	20	42	8	[10, 4, 7, 9, 0]	0.03939223289489746
6	25	42	8	[10, 4, 7, 9, 0]	0.023777484893798828
6	1	5	3	[5, 9]	0.003245830535888672
6	5	5	3	[5, 9]	0.004935026168823242
6	10	5	3	[5, 9]	0.005726337432861328
6	15	5	3	[5, 9]	0.0038673877716064453
6	20	5	3	[5, 9]	0.0045163631439208984
6	25	5	3	[5, 9]	0.007056713104248047
6	1	39	9	[8, 5, 9, 2, 3]	0.03387451171875
6	5	31	6	[8, 1, 2, 3]	0.029355287551879883
6	10	31	8	[8, 1, 2, 3]	0.027391433715820312
6	15	31	8	[8, 1, 2, 3]	0.023546695709228516
6	20	39	9	[8, 5, 9, 2, 3]	0.028254985809326172
6	25	39	9	[8, 5, 9, 2, 3]	0.0309298038482666
6	1	29	7	[5, 9, 0, 13]	0.03315925598144531
6	5	29	7	[5, 9, 0, 13]	0.03467822074890137
6	10	29	7	[5, 9, 0, 13]	0.04368185997009277
6	15	29	7	[5, 9, 0, 13]	0.035349369049072266
6	20	29	7	[5, 9, 0, 13]	0.03411602973937988
6	25	29	7	[5, 9, 0, 13]	0.030763864517211914
6	1	29	6	[13, 0, 9, 5]	0.022472381591796875
6	5	29	6	[13, 0, 9, 5]	0.023877620697021484
6	10	29	6	[13, 0, 9, 5]	0.0222623348236084
6	15	55	10007	[13, 0, 9, 0, 9, 5]	0.02376580238342285
6	20	29	10003	[13, 0, 9, 5]	0.022385120391845703
6	25	29	10003	[13, 0, 9, 5]	0.020095348358154297
6	1	5	3	[5, 9]	0.002955913543701172
6	5	5	3	[5, 9]	0.006746768951416016
6	10	5	3	[5, 9]	0.003832578659057617
6	15	5	3	[5, 9]	0.007153034210205078
6	20	5	3	[5, 9]	0.0035486221313476562
6	25	5	3	[5, 9]	0.003540515899658203
6	1	72	12	[6, 10, 6, 3, 2, 1, 8]	0.03461956977844238
6	5	60	13	[6, 10, 4, 7, 9, 5, 8]	0.034240007400512695
