Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	30	9	[7, 18, 3, 5, 0]	0.0356137752532959
5	5	30	9	[7, 18, 3, 5, 0]	0.0347292423248291
5	10	30	9	[7, 18, 3, 5, 0]	0.0344393253326416
5	15	30	9	[7, 18, 3, 5, 0]	0.03741025924682617
5	20	60	19	[7, 18, 3, 4, 1, 4, 3, 5, 0]	0.03585672378540039
5	25	30	9	[7, 18, 3, 5, 0]	0.029477596282958984
5	1	91	21	[2, 17, 9, 18, 11, 23, 11, 18, 3, 21, 12]	0.025545597076416016
5	5	29	4	[2, 15, 12]	0.025573253631591797
5	10	29	4	[2, 15, 12]	0.0272371768951416
5	15	29	4	[2, 15, 12]	0.025044918060302734
5	20	29	4	[2, 15, 12]	0.025190353393554688
5	25	29	4	[2, 15, 12]	0.029198884963989258
5	1	55	10	[10, 3, 10, 3, 18, 11]	0.05049252510070801
5	5	31	6	[10, 3, 18, 11]	0.05128335952758789
5	10	31	6	[10, 3, 18, 11]	0.05216240882873535
5	15	31	6	[10, 3, 18, 11]	0.050826072692871094
5	20	31	6	[10, 3, 18, 11]	0.047293663024902344
5	25	31	6	[10, 3, 18, 11]	0.043436527252197266
5	1	63	16	[2, 17, 9, 18, 3, 5, 3, 5, 0]	0.05420494079589844
5	5	97	20	[2, 17, 2, 15, 2, 17, 9, 18, 3, 5, 0]	0.04566812515258789
5	10	61	14	[2, 15, 10, 15, 10, 3, 5, 0]	0.043912410736083984
5	15	53	13	[2, 17, 9, 18, 3, 5, 0]	0.040505170822143555
5	20	53	13	[2, 15, 12, 21, 3, 5, 0]	0.04064369201660156
5	25	63	14	[2, 15, 10, 16, 10, 3, 5, 0]	0.044359445571899414
5	1	38	8	[5, 0, 20, 11, 23]	0.08301806449890137
5	5	76	19	[5, 3, 18, 7, 6, 7, 18, 11, 23]	0.07372617721557617
5	10	31	9	[5, 3, 21, 12, 23]	0.05300593376159668
5	15	30	8	[5, 3, 18, 11, 23]	0.04897904396057129
5	20	40	12	[5, 3, 5, 3, 18, 11, 23]	0.053644418716430664
5	25	30	8	[5, 3, 18, 11, 23]	0.04642963409423828
5	1	13	2	[16, 8]	0.031293630599975586
5	5	13	2	[16, 8]	0.031204700469970703
5	10	13	2	[16, 8]	0.030436038970947266
5	15	13	2	[16, 8]	0.028053760528564453
5	20	13	2	[16, 8]	0.03297758102416992
5	25	13	2	[16, 8]	0.028874874114990234
5	1	65	17	[8, 22, 5, 0, 20, 0, 5, 3, 21]	0.031768083572387695
5	5	68	16	[8, 22, 14, 16, 1, 4, 3, 21]	0.033287763595581055
5	10	27	9	[8, 22, 5, 3, 21]	0.03458285331726074
5	15	27	10005	[8, 22, 5, 3, 21]	0.030273914337158203
5	20	27	10005	[8, 22, 5, 3, 21]	0.030218124389648438
5	25	27	10005	[8, 22, 5, 3, 21]	0.02413153648376465
5	1	47	12	[15, 10, 3, 18, 7, 6]	0.07490086555480957
5	5	47	12	[15, 10, 3, 18, 7, 6]	0.07471418380737305
5	10	47	12	[15, 10, 3, 18, 7, 6]	0.06631922721862793
5	15	47	12	[15, 10, 3, 18, 7, 6]	0.06329178810119629
5	20	53	15	[15, 12, 21, 3, 18, 7, 6]	0.06513237953186035
5	25	47	12	[15, 10, 3, 18, 7, 6]	0.05934715270996094
5	1	20	4	[18, 11, 23]	0.048862457275390625
5	5	20	4	[18, 11, 23]	0.049239397048950195
5	10	20	4	[18, 11, 23]	0.05098295211791992
5	15	66	15	[18, 7, 6, 7, 18, 11, 23]	0.04752683639526367
5	20	20	4	[18, 11, 23]	0.04536247253417969
5	25	20	4	[18, 11, 23]	0.03980660438537598
5	1	80	22	[5, 3, 18, 11, 18, 3, 4, 3, 21, 12, 15]	0.043179988861083984
5	5	52	18	[5, 3, 18, 3, 4, 3, 21, 12, 15]	0.04696774482727051
5	10	69	16	[5, 3, 5, 3, 18, 11, 23, 12, 15]	0.04439687728881836
5	15	24	7	[5, 3, 10, 15]	0.03823494911193848
5	20	24	7	[5, 3, 10, 15]	0.039971113204956055
5	25	24	7	[5, 3, 10, 15]	0.035491943359375
5	1	17	5	[3, 18, 7]	0.035535573959350586
5	5	17	5	[3, 18, 7]	0.034216880798339844
5	10	65	20	[3, 21, 12, 19, 12, 21, 3, 18, 7]	0.03226351737976074
5	15	17	5	[3, 18, 7]	0.029826641082763672
5	20	17	5	[3, 18, 7]	0.0318145751953125
5	25	17	5	[3, 18, 7]	0.030434846878051758
5	1	42	13	[21, 3, 18, 3, 5, 22, 14]	0.05509662628173828
5	5	62	19	[21, 3, 4, 1, 4, 3, 5, 22, 14]	0.05074453353881836
5	10	32	9	[21, 3, 5, 22, 14]	0.0522160530090332
5	15	58	17	[21, 3, 18, 3, 5, 0, 5, 22, 14]	0.04791545867919922
5	20	123	28	[21, 3, 4, 1, 16, 10, 15, 2, 15, 10, 3, 5, 22, 14]	0.050673723220825195
5	25	31	10004	[21, 12, 19, 14]	0.04941916465759277
5	1	64	17	[17, 2, 17, 9, 18, 3, 4, 3, 21]	0.0305938720703125
5	5	52	12	[17, 2, 17, 9, 18, 3, 21]	0.03228497505187988
5	10	70	12	[17, 9, 17, 2, 15, 12, 21]	0.035578250885009766
5	15	42	9	[17, 2, 15, 12, 21]	0.0326845645904541
5	20	52	14	[17, 2, 17, 9, 18, 3, 21]	0.02973198890686035
5	25	38	9	[17, 9, 18, 3, 21]	0.028357744216918945
5	1	21	4	[12, 15, 10]	0.03309440612792969
5	5	21	4	[12, 15, 10]	0.037718772888183594
5	10	21	4	[12, 15, 10]	0.033814430236816406
5	15	21	4	[12, 15, 10]	0.040393829345703125
5	20	35	13	[12, 21, 3, 4, 3, 10]	0.03640604019165039
5	25	21	4	[12, 15, 10]	0.021930217742919922
5	1	19	5	[21, 12, 19]	0.03851175308227539
5	5	19	5	[21, 12, 19]	0.04372882843017578
5	10	19	5	[21, 12, 19]	0.03895998001098633
5	15	19	5	[21, 12, 19]	0.03705191612243652
5	20	19	5	[21, 12, 19]	0.03741002082824707
5	25	19	10001	[21, 12, 19]	0.05324244499206543
5	1	17	5	[21, 3, 10]	0.040688276290893555
5	5	17	5	[21, 3, 10]	0.036130428314208984
5	10	17	5	[21, 3, 10]	0.04354047775268555
5	15	17	6	[21, 3, 10]	0.029228925704956055
5	20	17	6	[21, 3, 10]	0.03220677375793457
5	25	17	10002	[21, 3, 10]	0.03526782989501953
5	1	130	28	[23, 11, 20, 13, 6, 13, 20, 11, 18, 3, 5, 22, 8, 16]	0.05972409248352051
5	5	56	13	[23, 12, 21, 12, 15, 10, 16]	0.0683443546295166
5	10	131	27	[23, 11, 20, 0, 20, 13, 20, 0, 5, 0, 5, 22, 14, 16]	0.06129789352416992
5	15	79	20	[23, 11, 20, 0, 5, 0, 5, 3, 10, 16]	0.05572962760925293
5	20	63	18	[23, 12, 21, 3, 5, 3, 4, 1, 16]	0.050734758377075195
5	25	86	23	[23, 11, 18, 3, 18, 7, 18, 3, 4, 1, 16]	0.04819798469543457
5	1	8	2	[10, 16]	0.015962839126586914
5	5	8	2	[10, 16]	0.0171353816986084
5	10	8	2	[10, 16]	0.016540050506591797
5	15	8	2	[10, 16]	0.016840219497680664
5	20	8	2	[10, 16]	0.01749563217163086
5	25	8	2	[10, 16]	0.014716386795043945
5	1	49	13	[20, 0, 5, 3, 21, 12, 15]	0.06381011009216309
5	5	157	30	[20, 13, 6, 7, 6, 13, 6, 7, 18, 9, 17, 2, 17, 2, 15]	0.05634593963623047
5	10	93	20	[20, 0, 5, 3, 18, 9, 17, 2, 17, 2, 15]	0.06364703178405762
5	15	65	15	[20, 0, 20, 0, 5, 3, 10, 15]	0.044497013092041016
5	20	43	11	[20, 0, 5, 3, 10, 15]	0.04868721961975098
5	25	69	16	[20, 13, 6, 7, 18, 3, 10, 15]	0.05146360397338867
5	1	24	6	[15, 10, 3, 18]	0.028043270111083984
5	5	24	6	[15, 10, 3, 18]	0.025354385375976562
5	10	24	6	[15, 10, 3, 18]	0.032903432846069336
5	15	103	21	[15, 12, 19, 14, 19, 14, 16, 10, 3, 18]	0.02474188804626465
5	20	24	6	[15, 10, 3, 18]	0.02283024787902832
