Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	40	9	[3, 2, 12, 11, 13]	0.024384498596191406
5	5	55	13	[3, 2, 1, 2, 12, 0, 13]	0.02379441261291504
5	10	40	9	[3, 2, 12, 11, 13]	0.02284526824951172
5	15	94	20	[3, 2, 1, 8, 5, 9, 2, 12, 11, 13]	0.02351546287536621
5	20	35	9	[3, 2, 12, 0, 13]	0.023134708404541016
5	25	35	9	[3, 2, 12, 0, 13]	0.022564411163330078
5	1	11	2	[0, 13]	0.01116037368774414
5	5	11	2	[0, 13]	0.010966300964355469
5	10	11	2	[0, 13]	0.011358261108398438
5	15	11	2	[0, 13]	0.011487960815429688
5	20	11	2	[0, 13]	0.011078119277954102
5	25	11	2	[0, 13]	0.010835409164428711
5	1	22	7	[4, 7, 9, 5]	0.014518022537231445
5	5	22	7	[4, 7, 9, 5]	0.014407157897949219
5	10	22	7	[4, 7, 9, 5]	0.013954877853393555
5	15	22	7	[4, 7, 9, 5]	0.01330256462097168
5	20	22	7	[4, 7, 9, 5]	0.01303410530090332
5	25	22	7	[4, 7, 9, 5]	0.013172149658203125
5	1	76	18	[10, 4, 10, 6, 3, 2, 12, 0]	0.017036914825439453
5	5	52	12	[10, 6, 3, 2, 12, 0]	0.016893625259399414
5	10	42	10	[10, 4, 7, 9, 0]	0.016546010971069336
5	15	42	10	[10, 4, 7, 9, 0]	0.015896320343017578
5	20	42	10	[10, 4, 7, 9, 0]	0.016870498657226562
5	25	42	10	[10, 4, 7, 9, 0]	0.015597105026245117
5	1	31	8	[12, 2, 12, 2, 9]	0.009678840637207031
5	5	32	6	[12, 11, 0, 9]	0.009776115417480469
5	10	19	4	[12, 2, 9]	0.009855508804321289
5	15	19	4	[12, 2, 9]	0.009782552719116211
5	20	19	4	[12, 2, 9]	0.009497642517089844
5	25	19	4	[12, 2, 9]	0.009461164474487305
5	1	41	11	[12, 2, 12, 2, 3, 6]	0.02402949333190918
5	5	29	7	[12, 2, 3, 6]	0.023882150650024414
5	10	29	7	[12, 2, 3, 6]	0.022802352905273438
5	15	29	8	[12, 2, 3, 6]	0.022272825241088867
5	20	29	8	[12, 2, 3, 6]	0.020988941192626953
5	25	29	9	[12, 2, 3, 6]	0.022306442260742188
5	1	28	5	[3, 6, 10]	0.0211484432220459
5	5	28	5	[3, 6, 10]	0.02071404457092285
5	10	28	5	[3, 6, 10]	0.01929783821105957
5	15	28	5	[3, 6, 10]	0.019818544387817383
5	20	28	5	[3, 6, 10]	0.01887822151184082
5	25	28	5	[3, 6, 10]	0.018210887908935547
5	1	24	6	[11, 0, 9, 5]	0.016040325164794922
5	5	24	6	[11, 0, 9, 5]	0.016869068145751953
5	10	24	6	[11, 0, 9, 5]	0.016078710556030273
5	15	24	6	[11, 0, 9, 5]	0.015022039413452148
5	20	24	6	[11, 0, 9, 5]	0.01855778694152832
5	25	24	6	[11, 0, 9, 5]	0.016491413116455078
5	1	51	13	[0, 11, 0, 12, 2, 3, 6]	0.034058332443237305
5	5	39	9	[0, 12, 2, 3, 6]	0.027983427047729492
5	10	48	12	[0, 11, 12, 2, 3, 6]	0.02883124351501465
5	15	49	10	[0, 9, 2, 3, 6]	0.025943756103515625
