Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	1	54	15	[7, 18, 7, 18, 3, 5, 0]	0.03800010681152344
5	5	30	9	[7, 18, 3, 5, 0]	0.03589630126953125
5	10	30	9	[7, 18, 3, 5, 0]	0.033707618713378906
5	15	48	13	[7, 18, 3, 5, 22, 5, 0]	0.03372454643249512
5	20	30	9	[7, 18, 3, 5, 0]	0.03383946418762207
5	25	30	9	[7, 18, 3, 5, 0]	0.029451370239257812
5	1	29	4	[2, 15, 12]	0.023624181747436523
5	5	29	4	[2, 15, 12]	0.024501800537109375
5	10	29	4	[2, 15, 12]	0.0242156982421875
5	15	29	4	[2, 15, 12]	0.0220029354095459
5	20	29	4	[2, 15, 12]	0.024062156677246094
5	25	29	4	[2, 15, 12]	0.024088144302368164
5	1	31	6	[10, 3, 18, 11]	0.043935298919677734
5	5	31	6	[10, 3, 18, 11]	0.04443049430847168
5	10	31	6	[10, 3, 18, 11]	0.04783272743225098
5	15	31	6	[10, 3, 18, 11]	0.053787946701049805
5	20	31	6	[10, 3, 18, 11]	0.04982399940490723
5	25	31	6	[10, 3, 18, 11]	0.03931784629821777
5	1	47	10	[2, 15, 10, 3, 5, 0]	0.0428004264831543
5	5	47	10	[2, 15, 10, 3, 5, 0]	0.0480191707611084
5	10	101	22	[2, 17, 2, 15, 10, 16, 1, 16, 10, 3, 5, 0]	0.043766021728515625
5	15	53	13	[2, 17, 9, 18, 3, 5, 0]	0.04677557945251465
5	20	53	13	[2, 15, 12, 21, 3, 5, 0]	0.04456281661987305
5	25	61	15	[2, 17, 2, 15, 10, 3, 5, 0]	0.04406571388244629
5	1	43	14	[5, 3, 4, 3, 21, 12, 23]	0.05181527137756348
5	5	56	13	[5, 3, 18, 11, 20, 11, 23]	0.055425167083740234
5	10	201	45	[5, 3, 21, 12, 15, 2, 17, 2, 17, 2, 17, 9, 17, 2, 17, 2, 17, 2, 15, 10, 15, 12, 23]	0.05153036117553711
5	15	46	12	[5, 0, 5, 3, 18, 11, 23]	0.0518193244934082
5	20	40	12	[5, 3, 5, 3, 18, 11, 23]	0.05241131782531738
5	25	30	8	[5, 3, 18, 11, 23]	0.04306197166442871
5	1	13	2	[16, 8]	0.030391454696655273
5	5	13	2	[16, 8]	0.029875516891479492
5	10	13	2	[16, 8]	0.03077983856201172
5	15	13	2	[16, 8]	0.02774190902709961
5	20	13	2	[16, 8]	0.02498936653137207
5	25	13	2	[16, 8]	0.023491859436035156
5	1	27	9	[8, 22, 5, 3, 21]	0.02790093421936035
5	5	27	9	[8, 22, 5, 3, 21]	0.02721691131591797
5	10	27	9	[8, 22, 5, 3, 21]	0.030710935592651367
5	15	27	10005	[8, 22, 5, 3, 21]	0.030196189880371094
5	20	38	10005	[8, 16, 10, 3, 21]	0.030539512634277344
5	25	62	10009	[8, 16, 1, 16, 10, 3, 21]	0.02674126625061035
5	1	53	15	[15, 12, 21, 3, 18, 7, 6]	0.07165074348449707
5	5	61	16	[15, 10, 15, 10, 3, 18, 7, 6]	0.06926870346069336
5	10	61	16	[15, 10, 15, 10, 3, 18, 7, 6]	0.06744956970214844
5	15	147	32	[15, 10, 16, 1, 16, 14, 22, 5, 0, 20, 0, 5, 3, 18, 7, 6]	0.06060338020324707
5	20	47	12	[15, 10, 3, 18, 7, 6]	0.062132835388183594
5	25	47	12	[15, 10, 3, 18, 7, 6]	0.06353473663330078
5	1	20	4	[18, 11, 23]	0.047820091247558594
5	5	20	4	[18, 11, 23]	0.04305887222290039
5	10	20	4	[18, 11, 23]	0.044157981872558594
5	15	20	4	[18, 11, 23]	0.040772199630737305
5	20	20	4	[18, 11, 23]	0.03973817825317383
5	25	20	4	[18, 11, 23]	0.035572052001953125
5	1	62	22	[5, 3, 4, 3, 18, 3, 5, 3, 21, 12, 15]	0.0407872200012207
5	5	52	10	[5, 22, 14, 16, 10, 15]	0.04036831855773926
5	10	36	11	[5, 3, 4, 3, 10, 15]	0.04443717002868652
5	15	72	17	[5, 3, 21, 12, 23, 11, 23, 12, 15]	0.03873038291931152
5	20	24	7	[5, 3, 10, 15]	0.04100799560546875
5	25	24	7	[5, 3, 10, 15]	0.03551983833312988
5	1	17	5	[3, 18, 7]	0.03801774978637695
5	5	17	5	[3, 18, 7]	0.04021596908569336
5	10	17	5	[3, 18, 7]	0.040056467056274414
5	15	17	5	[3, 18, 7]	0.037995338439941406
5	20	17	5	[3, 18, 7]	0.03104090690612793
5	25	71	19	[3, 4, 1, 16, 1, 4, 3, 18, 7]	0.029480934143066406
5	1	32	9	[21, 3, 5, 22, 14]	0.04736733436584473
5	5	162	36	[21, 3, 18, 7, 6, 13, 6, 7, 6, 13, 20, 11, 18, 3, 5, 22, 14]	0.04911231994628906
5	10	44	14	[21, 12, 21, 3, 5, 22, 14]	0.04440951347351074
5	15	92	25	[21, 12, 21, 3, 5, 3, 18, 11, 23, 12, 19, 14]	0.04466819763183594
5	20	32	9	[21, 3, 5, 22, 14]	0.04407334327697754
5	25	113	20019	[21, 3, 18, 11, 23, 11, 20, 0, 5, 22, 8, 16, 14]	0.03957223892211914
5	1	38	8	[17, 9, 18, 3, 21]	0.054259538650512695
5	5	42	8	[17, 2, 15, 12, 21]	0.03325676918029785
5	10	52	12	[17, 2, 17, 9, 18, 3, 21]	0.03848147392272949
5	15	38	9	[17, 9, 18, 3, 21]	0.033231496810913086
5	20	137	30	[17, 2, 15, 12, 23, 11, 23, 11, 20, 13, 20, 11, 18, 3, 21]	0.031136751174926758
5	25	42	9	[17, 2, 15, 12, 21]	0.028473854064941406
5	1	21	4	[12, 15, 10]	0.03227877616882324
5	5	21	4	[12, 15, 10]	0.030034303665161133
5	10	21	4	[12, 15, 10]	0.028537750244140625
5	15	21	4	[12, 15, 10]	0.026990652084350586
5	20	79	17	[12, 19, 14, 16, 1, 4, 3, 10]	0.028213024139404297
5	25	21	4	[12, 15, 10]	0.020447731018066406
5	1	19	5	[21, 12, 19]	0.03446531295776367
5	5	19	5	[21, 12, 19]	0.03381943702697754
5	10	19	5	[21, 12, 19]	0.03342604637145996
5	15	19	5	[21, 12, 19]	0.03130316734313965
5	20	19	5	[21, 12, 19]	0.031520843505859375
5	25	19	10001	[21, 12, 19]	0.04735875129699707
5	1	17	5	[21, 3, 10]	0.0314023494720459
5	5	17	5	[21, 3, 10]	0.030567169189453125
5	10	27	7	[21, 12, 15, 10]	0.030322790145874023
5	15	17	6	[21, 3, 10]	0.024791240692138672
5	20	17	6	[21, 3, 10]	0.025385618209838867
5	25	17	10002	[21, 3, 10]	0.028560161590576172
5	1	77	19	[23, 11, 18, 3, 21, 3, 5, 22, 14, 16]	0.05075836181640625
5	5	58	16	[23, 12, 21, 3, 4, 3, 10, 16]	0.04836559295654297
5	10	72	21	[23, 11, 18, 3, 5, 3, 18, 3, 4, 1, 16]	0.049071311950683594
5	15	56	12	[23, 11, 23, 12, 15, 10, 16]	0.048972368240356445
5	20	102	26	[23, 12, 23, 11, 18, 3, 21, 3, 18, 3, 4, 1, 16]	0.046646833419799805
5	25	70	13	[23, 12, 19, 12, 15, 10, 16]	0.04523134231567383
5	1	8	2	[10, 16]	0.01802992820739746
5	5	8	2	[10, 16]	0.014593839645385742
5	10	8	2	[10, 16]	0.015980005264282227
5	15	8	2	[10, 16]	0.015485286712646484
5	20	8	2	[10, 16]	0.014960050582885742
5	25	8	2	[10, 16]	0.016180038452148438
5	1	49	13	[20, 0, 5, 3, 21, 12, 15]	0.04591488838195801
5	5	77	22	[20, 0, 5, 0, 5, 3, 4, 3, 21, 12, 15]	0.04495429992675781
5	10	71	18	[20, 0, 5, 22, 5, 3, 5, 3, 10, 15]	0.049103498458862305
5	15	69	15	[20, 13, 20, 11, 18, 3, 10, 15]	0.042656660079956055
5	20	81	20	[20, 11, 23, 11, 20, 0, 5, 3, 10, 15]	0.04551053047180176
5	25	43	11	[20, 0, 5, 3, 10, 15]	0.03915834426879883
5	1	24	6	[15, 10, 3, 18]	0.025389671325683594
5	5	24	6	[15, 10, 3, 18]	0.024662017822265625
5	10	24	6	[15, 10, 3, 18]	0.026085615158081055
5	15	24	6	[15, 10, 3, 18]	0.02612924575805664
5	20	24	6	[15, 10, 3, 18]	0.027541637420654297
5	25	24	6	[15, 10, 3, 18]	0.023472070693969727
6	1	39	11	[19, 12, 21, 3, 4, 1]	0.05744433403015137
6	5	58	10	[19, 14, 22, 8, 16, 1]	0.05393385887145996
6	10	54	13	[19, 14, 22, 5, 3, 4, 1]	0.055487871170043945
6	15	39	11	[19, 12, 21, 3, 4, 1]	0.053884029388427734
6	20	39	7	[19, 14, 16, 1]	0.04898548126220703
6	25	126	32	[19, 12, 15, 10, 15, 2, 17, 2, 17, 2, 15, 10, 16, 1]	0.04556608200073242
6	1	11	5	[4, 3, 18]	0.02140974998474121
6	5	11	5	[4, 3, 18]	0.021895408630371094
6	10	11	5	[4, 3, 18]	0.02290034294128418
6	15	11	5	[4, 3, 18]	0.023179292678833008
6	20	11	5	[4, 3, 18]	0.02092289924621582
6	25	11	5	[4, 3, 18]	0.01828932762145996
6	1	39	11	[13, 20, 0, 5, 3, 4]	0.04577159881591797
6	5	39	11	[13, 20, 0, 5, 3, 4]	0.04501962661743164
6	10	169	37	[13, 20, 0, 5, 22, 8, 22, 14, 16, 14, 19, 14, 22, 8, 22, 5, 3, 4]	0.04395270347595215
6	15	60	15	[13, 20, 11, 23, 12, 21, 3, 4]	0.04206109046936035
6	20	39	13	[13, 20, 0, 5, 3, 4]	0.04196000099182129
6	25	39	13	[13, 20, 0, 5, 3, 4]	0.0409245491027832
6	1	37	6	[9, 18, 7, 6]	0.06254696846008301
6	5	37	6	[9, 18, 7, 6]	0.06370878219604492
6	10	37	8	[9, 18, 7, 6]	0.06397247314453125
6	15	37	8	[9, 18, 7, 6]	0.0640413761138916
6	20	37	8	[9, 18, 7, 6]	0.05685925483703613
6	25	37	9	[9, 18, 7, 6]	0.053620338439941406
6	1	42	8	[17, 2, 15, 12, 21]	0.0371699333190918
6	5	42	8	[17, 2, 15, 12, 21]	0.038999080657958984
6	10	46	13	[17, 2, 15, 10, 3, 21]	0.034471988677978516
6	15	42	9	[17, 2, 15, 12, 21]	0.03711986541748047
6	20	38	9	[17, 9, 18, 3, 21]	0.03570079803466797
6	25	42	9	[17, 2, 15, 12, 21]	0.03373885154724121
6	1	17	4	[8, 22, 5]	0.02169013023376465
6	5	17	4	[8, 22, 5]	0.02109813690185547
6	10	17	4	[8, 22, 5]	0.01892685890197754
6	15	17	4	[8, 22, 5]	0.019143342971801758
6	20	17	4	[8, 22, 5]	0.017881155014038086
6	25	17	4	[8, 22, 5]	0.028914928436279297
6	1	33	7	[8, 22, 14, 19]	0.051857709884643555
6	5	33	7	[8, 22, 14, 19]	0.05292987823486328
6	10	33	7	[8, 22, 14, 19]	0.05157184600830078
6	15	33	7	[8, 22, 14, 19]	0.051937103271484375
6	20	33	7	[8, 22, 14, 19]	0.054042816162109375
6	25	33	7	[8, 22, 14, 19]	0.046601057052612305
6	1	84	23	[12, 21, 3, 5, 0, 5, 3, 21, 12, 15, 2, 17]	0.08176565170288086
6	5	36	6	[12, 15, 2, 17]	0.0790095329284668
6	10	36	7	[12, 15, 2, 17]	0.08453178405761719
6	15	36	7	[12, 15, 2, 17]	0.08574295043945312
6	20	36	7	[12, 15, 2, 17]	0.08985662460327148
6	25	36	7	[12, 15, 2, 17]	0.08072710037231445
6	1	15	2	[15, 2]	0.0342252254486084
6	5	15	2	[15, 2]	0.04361891746520996
6	10	15	2	[15, 2]	0.03441119194030762
6	15	15	2	[15, 2]	0.03930521011352539
6	20	15	2	[15, 2]	0.040523529052734375
6	25	15	2	[15, 2]	0.030266523361206055
6	1	27	5	[16, 14, 19]	0.04946184158325195
6	5	27	5	[16, 14, 19]	0.05353045463562012
6	10	27	5	[16, 14, 19]	0.04758501052856445
6	15	27	5	[16, 14, 19]	0.04644966125488281
6	20	27	5	[16, 14, 19]	0.04619622230529785
6	25	27	5	[16, 14, 19]	0.04108476638793945
6	1	24	7	[5, 3, 10, 15]	0.048778533935546875
6	5	24	7	[5, 3, 10, 15]	0.044387102127075195
6	10	24	7	[5, 3, 10, 15]	0.046468496322631836
6	15	24	7	[5, 3, 10, 15]	0.04311037063598633
6	20	24	10	[5, 3, 10, 15]	0.04530501365661621
6	25	30	10	[5, 3, 21, 12, 15]	0.05399131774902344
6	1	27	4	[19, 14, 16]	0.06857967376708984
6	5	27	4	[19, 14, 16]	0.07459688186645508
6	10	27	4	[19, 14, 16]	0.13310480117797852
6	15	27	4	[19, 14, 16]	0.10267806053161621
6	20	27	5	[19, 14, 16]	0.04533195495605469
6	25	27	5	[19, 14, 16]	0.037793874740600586
6	1	15	5	[15, 10, 16]	0.03375673294067383
6	5	15	5	[15, 10, 16]	0.03157973289489746
6	10	15	5	[15, 10, 16]	0.03149104118347168
6	15	15	5	[15, 10, 16]	0.03261280059814453
6	20	15	5	[15, 10, 16]	0.027881383895874023
6	25	15	5	[15, 10, 16]	0.024902820587158203
6	1	37	6	[6, 7, 18, 9]	0.05642819404602051
6	5	37	6	[6, 7, 18, 9]	0.06197762489318848
