Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	9	[3, 2, 12, 0, 13]	0.03888201713562012
5	5	9	[3, 2, 12, 0, 13]	0.02765512466430664
5	10	9	[3, 2, 12, 0, 13]	0.024825572967529297
5	15	9	[3, 2, 12, 0, 13]	0.02127361297607422
5	20	9	[3, 2, 12, 0, 13]	0.02275538444519043
5	25	9	[3, 2, 12, 0, 13]	0.021706819534301758
5	1	2	[0, 13]	0.011538505554199219
5	5	2	[0, 13]	0.010877609252929688
5	10	2	[0, 13]	0.01084589958190918
5	15	2	[0, 13]	0.010278701782226562
5	20	2	[0, 13]	0.011255741119384766
5	25	2	[0, 13]	0.010057926177978516
5	1	7	[4, 7, 9, 5]	0.014421463012695312
5	5	7	[4, 7, 9, 5]	0.013996362686157227
5	10	7	[4, 7, 9, 5]	0.013227701187133789
5	15	7	[4, 7, 9, 5]	0.01207590103149414
5	20	7	[4, 7, 9, 5]	0.0118865966796875
5	25	7	[4, 7, 9, 5]	0.012181997299194336
5	1	10	[10, 4, 7, 9, 0]	0.018057584762573242
5	5	10	[10, 4, 7, 9, 0]	0.016987323760986328
5	10	10	[10, 4, 7, 9, 0]	0.01716160774230957
5	15	10	[10, 4, 7, 9, 0]	0.017628192901611328
5	20	10	[10, 4, 7, 9, 0]	0.01894998550415039
5	25	10	[10, 4, 7, 9, 0]	0.016749143600463867
5	1	4	[12, 2, 9]	0.010155916213989258
5	5	4	[12, 2, 9]	0.01017451286315918
5	10	4	[12, 2, 9]	0.010909557342529297
5	15	4	[12, 2, 9]	0.01028895378112793
5	20	4	[12, 2, 9]	0.00946664810180664
5	25	4	[12, 2, 9]	0.009386777877807617
5	1	11	[12, 2, 12, 2, 3, 6]	0.023207902908325195
5	5	7	[12, 2, 3, 6]	0.025733232498168945
5	10	32	[12, 11, 0, 9, 5, 9, 5, 9, 7, 9, 5, 9, 7, 4, 10, 6]	0.023248672485351562
5	15	18	[12, 2, 12, 2, 3, 2, 3, 6]	0.026195287704467773
5	20	8	[12, 2, 3, 6]	0.025374889373779297
5	25	9	[12, 2, 3, 6]	0.024712562561035156
5	1	5	[3, 6, 10]	0.024465084075927734
5	5	5	[3, 6, 10]	0.027092933654785156
5	10	5	[3, 6, 10]	0.0242459774017334
5	15	5	[3, 6, 10]	0.02365851402282715
5	20	5	[3, 6, 10]	0.022311687469482422
5	25	5	[3, 6, 10]	0.022098541259765625
5	1	6	[11, 0, 9, 5]	0.015494108200073242
5	5	6	[11, 0, 9, 5]	0.01620650291442871
5	10	6	[11, 0, 9, 5]	0.01521611213684082
5	15	6	[11, 0, 9, 5]	0.014946699142456055
5	20	6	[11, 0, 9, 5]	0.014820337295532227
5	25	6	[11, 0, 9, 5]	0.015811920166015625
5	1	9	[0, 12, 2, 3, 6]	0.03698611259460449
5	5	9	[0, 12, 2, 3, 6]	0.035256147384643555
5	10	9	[0, 12, 2, 3, 6]	0.038659095764160156
5	15	10	[0, 12, 2, 3, 6]	0.03755974769592285
5	20	10	[0, 12, 2, 3, 6]	0.038694143295288086
5	25	11	[0, 12, 2, 3, 6]	0.03289675712585449
5	1	8	[6, 10, 4, 7]	0.016733169555664062
5	5	8	[6, 10, 4, 7]	0.016104698181152344
5	10	8	[6, 10, 4, 7]	0.018153667449951172
5	15	8	[6, 10, 4, 7]	0.01586747169494629
5	20	8	[6, 10, 4, 7]	0.01535344123840332
5	25	8	[6, 10, 4, 7]	0.016268253326416016
5	1	7	[8, 5, 9, 7]	0.016035795211791992
5	5	7	[8, 5, 9, 7]	0.01760077476501465
5	10	7	[8, 5, 9, 7]	0.015255212783813477
5	15	7	[8, 5, 9, 7]	0.014036893844604492
5	20	8	[8, 5, 9, 7]	0.014935493469238281
5	25	8	[8, 5, 9, 7]	0.014273405075073242
5	1	9	[5, 9, 7, 4, 10]	0.029787063598632812
5	5	13	[5, 9, 5, 9, 7, 4, 10]	0.027233362197875977
5	10	9	[5, 9, 7, 4, 10]	0.026568889617919922
5	15	9	[5, 9, 7, 4, 10]	0.030950069427490234
5	20	9	[5, 9, 7, 4, 10]	0.028177261352539062
5	25	9	[5, 9, 7, 4, 10]	0.028183698654174805
