Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	9	[7, 18, 3, 5, 0]	0.037404775619506836
5	5	9	[7, 18, 3, 5, 0]	0.03318500518798828
5	10	9	[7, 18, 3, 5, 0]	0.03246760368347168
5	15	9	[7, 18, 3, 5, 0]	0.030971050262451172
5	20	9	[7, 18, 3, 5, 0]	0.03096318244934082
5	25	9	[7, 18, 3, 5, 0]	0.026808977127075195
5	1	4	[2, 15, 12]	0.025109052658081055
5	5	4	[2, 15, 12]	0.023650169372558594
5	10	4	[2, 15, 12]	0.0233917236328125
5	15	4	[2, 15, 12]	0.021669626235961914
5	20	4	[2, 15, 12]	0.022510528564453125
5	25	4	[2, 15, 12]	0.025733470916748047
5	1	13	[10, 15, 12, 21, 3, 18, 11]	0.04111480712890625
5	5	6	[10, 3, 18, 11]	0.042513132095336914
5	10	14	[10, 15, 12, 15, 10, 3, 18, 11]	0.04078936576843262
5	15	13	[10, 15, 12, 21, 12, 23, 11]	0.03879070281982422
5	20	19	[10, 16, 14, 19, 12, 21, 3, 18, 11]	0.03725934028625488
5	25	10	[10, 16, 10, 3, 18, 11]	0.03494524955749512
5	1	12	[2, 17, 9, 18, 3, 5, 0]	0.04430079460144043
5	5	12	[2, 17, 9, 18, 3, 5, 0]	0.04348468780517578
5	10	14	[2, 17, 2, 15, 10, 3, 5, 0]	0.04501008987426758
5	15	17	[2, 17, 9, 18, 3, 5, 22, 5, 0]	0.04605293273925781
5	20	22	[2, 17, 2, 15, 2, 17, 9, 18, 3, 5, 0]	0.04764270782470703
5	25	31	[2, 15, 10, 16, 1, 4, 1, 16, 14, 16, 14, 22, 5, 22, 5, 0]	0.03957080841064453
5	1	12	[5, 0, 5, 3, 18, 11, 23]	0.04990267753601074
5	5	28	[5, 3, 4, 3, 21, 12, 19, 14, 22, 5, 3, 18, 11, 23]	0.04732227325439453
5	10	9	[5, 3, 21, 12, 23]	0.05090904235839844
5	15	9	[5, 3, 21, 12, 23]	0.04493594169616699
5	20	9	[5, 3, 21, 12, 23]	0.0521693229675293
5	25	8	[5, 3, 18, 11, 23]	0.03927731513977051
5	1	2	[16, 8]	0.02272343635559082
5	5	2	[16, 8]	0.022367000579833984
5	10	2	[16, 8]	0.024445533752441406
5	15	2	[16, 8]	0.024835586547851562
5	20	2	[16, 8]	0.02456212043762207
5	25	2	[16, 8]	0.01987290382385254
5	1	9	[8, 22, 5, 3, 21]	0.02640223503112793
5	5	9	[8, 22, 5, 3, 21]	0.02901935577392578
5	10	9	[8, 22, 5, 3, 21]	0.027140378952026367
